Kommentarer__0-5_,Kvinne,Musescore,Melodi,Melodi_link,Komponist,Komponist_link,Levde_når,Levde_når_link,Lyrikk,Lyrikk_link,Unnamed_8,Unnamed_8_link,Når_komponert,Når_komponert_link,Unnamed_10,Unnamed_10_link,Unnamed_11,Diverse_kommentarer,Diverse_kommentarer_link,Egne_noter,Forlag,Platenr_,Unnamed_16
4,,x,Keep Cool!,https://musescore.com/user/26911315/scores/15311995,"Gleene, James",,?,,,,,,1917,,,,,,,,Skandinavisk Musikforlag,503,
4,,x,Turner marsch,https://musescore.com/user/26911315/scores/6846990,"Glomsaas, Knut",https://en.wikipedia.org/wiki/Knut_Glomsaas,1863 - 1935,,,,,,1889,,,,,,,,Carl Warmuth,1909-1910,
4,,x,Ballade,https://musescore.com/user/26911315/scores/14831251,"Gløersen, Christian August",https://www.nb.no/items/511e2d70f2f7616ef4035438165360de?page=1,1892 - 1922,,,,,,,,Musik for Hjemmet Julenummer 1927.,,,,,,,,
,,x,Mazurka de Salon,https://musescore.com/user/26911315/scores/8499149,"Gløersen, Christian August",https://www.nb.no/items/511e2d70f2f7616ef4035438165360de?page=1,1892 - 1922,,,,,,1907,,,,,,,,Brødrene Hals,1182,
,,,Twilight,,"Goldmark, Rubin",,,,,,,,1904,,Op. 7 No 1.,,,,,,,,
4,,x,Gavotte d'amour,https://musescore.com/user/26911315/scores/20207179,"Gottschalksen, Carl",https://sv.wikipedia.org/wiki/Carl_Gottschalksen,1854 - 1939,,,,,,1903,,,,,,,,Oluf By's Musikforlag,74,
,K,x,Bøn,https://musescore.com/user/26911315/scores/7765553,"Gran, Clara",,1876 - 1948,,E.T.,,?,,1909?,,Sung by Martha Vestby this year,,,,,,Oluf By's Musikforlag,1630,
3,,x,Albumblad,https://musescore.com/user/26911315/scores/14458051,"Grieg, Edvard",https://no.wikipedia.org/wiki/Edvard_Grieg,1843 - 1907,,,,,,1878,,(Also Warmuth's no 1000 publication from 1885),,,,,,Carl Warmuth,1000,
,,x,An den Frühling,https://musescore.com/user/26911315/scores/5969330,"Grieg, Edvard",https://no.wikipedia.org/wiki/Edvard_Grieg,1843 - 1907,,,,,,1886,,,,,,,,,,
,,,Den gamle vise,,"Grieg, Edvard",https://no.wikipedia.org/wiki/Edvard_Grieg,1843 - 1907,,,,,,1864,,Op. 4 no 5.,,,,,,,,
5,,x,Jeg går i tusind tanker,https://musescore.com/user/26911315/scores/11027332,"Grieg, Edvard",https://no.wikipedia.org/wiki/Edvard_Grieg,1843 - 1907,,,,,,1896,,Op. 66 No 18.,,,,,,,,
5,,x,Opus 61 (Barnlige sange),https://musescore.com/user/26911315/scores/12584023,"Grieg, Edvard",https://no.wikipedia.org/wiki/Edvard_Grieg,1843 - 1907,,(Bjørnson & Rolfsen),,,,1894,,Op. 61,,,,,ISMLP + egne noter,Brødrene Hals,749 - 755,
,,x,Lad os hvirvle velkomstsangen,https://musescore.com/user/26911315/scores/5813546,"Grieg, Edvard",https://no.wikipedia.org/wiki/Edvard_Grieg,1843 - 1907,,"Skavlan, Sigvald",https://no.wikipedia.org/wiki/Sigvald_Skavlan,1839 - 1912,,<1874,,Norges Melodier III,,,,,,,,
3,,x,Landkiending,https://musescore.com/user/26911315/scores/21297316,"Grieg, Edvard",https://no.wikipedia.org/wiki/Edvard_Grieg,1843 - 1907,,"Bjørnson, Bjørnstjerne",https://no.wikipedia.org/wiki/Bjørnstjerne_Bjørnson,1832- 1910,,1872,,Opus 31. Arr. Eyvind Alnæs,,,,,,Norsk Musikforlag,4518,
2,,x,Larvikspolka,https://musescore.com/user/26911315/scores/9818959,"Grieg, Edvard",https://no.wikipedia.org/wiki/Edvard_Grieg,1843 - 1907,,,,,,1858,,Grieg's first composition,,,,,Fra nettet,,EG 101,
2,,x,Opus 17,https://musescore.com/user/26911315/scores/7755386,"Grieg, Edvard",https://no.wikipedia.org/wiki/Edvard_Grieg,1843 - 1907,,,,,,1869,,25 Norske Folkeviser og Dandse,,,,,,,,
,,x,Opus 66,https://musescore.com/user/26911315/scores/10855813,"Grieg, Edvard",https://no.wikipedia.org/wiki/Edvard_Grieg,1843 - 1907,,,,,,1896,,Opus 66,,,,,IMSLP,Edition Peters,,
,,x,Prinsessen,https://musescore.com/user/26911315/scores/5997456,"Grieg, Edvard",https://no.wikipedia.org/wiki/Edvard_Grieg,1843 - 1907,,Bjørnstjerne Bjørnson,https://no.wikipedia.org/wiki/Bjørnstjerne_Bjørnson,1832- 1910,,,,,,,,,,,,
5,,x,Solveigs sang,https://musescore.com/user/26911315/scores/8610887,"Grieg, Edvard",https://no.wikipedia.org/wiki/Edvard_Grieg,1843 - 1907,,,,,,1875,,Arr: For violin and piano Anton Svendsen,,,,,,Wilhelm Hansen,,
3,,x,"Opus 5, no 1 - To brune øine",https://musescore.com/user/26911315/scores/20587768,"Grieg, Edvard",https://no.wikipedia.org/wiki/Edvard_Grieg,1843 - 1907,,"Andersen, Hans Christian",https://en.wikipedia.org/wiki/Hans_Christian_Andersen,1805 - 1875,,1864,,Op. 5 no. 1,,,,,,,,
3,,x,"Opus 9, no 4 - Udfarten",https://musescore.com/user/26911315/scores/20509501,"Grieg, Edvard",https://no.wikipedia.org/wiki/Edvard_Grieg,1843 - 1907,,"Munch, Andreas",https://no.wikipedia.org/wiki/Andreas_Munch,1811 - 1885,,1863 - 1866,,Op. 9 no. 4,,,,,,,,
2,,x,"Opus 18, no 7 - Hytten",https://musescore.com/user/26911315/scores/20778202,"Grieg, Edvard",https://no.wikipedia.org/wiki/Edvard_Grieg,1843 - 1907,,"Andersen, Hans Christian",https://en.wikipedia.org/wiki/Hans_Christian_Andersen,1805 - 1875,,1865,,Op. 18 no. 7,,,,,,,,
3,,x,"Opus 33, no 9 - Ved Rondane",https://musescore.com/user/26911315/scores/20764510,"Grieg, Edvard",https://no.wikipedia.org/wiki/Edvard_Grieg,1843 - 1907,,"Vinje, Aasmund Olavsson ",https://no.wikipedia.org/wiki/Aasmund_Olavsson_Vinje,1818 - 1870,,1880,,Op. 33 no. 9,,,,,,,,
5,,x,Smaatrold,https://musescore.com/user/26911315/scores/10066735,"Grüner-Hegge, Odd",https://no.wikipedia.org/wiki/Odd_Grüner-Hegge,1899 - 1973,,,,,,1906,,Composed about 6 years old!,,,,,,,,
5,,,"Sov, min prinsesse, sov ind",,"Grøn, Andreas Fenger",http://www.bornholmskamatorscene.dk/nyt-fra-foreningen/,1884 - 195?,,Ewald Sundberg,https://www.nb.no/items/633aa9c52bbb8bad424cbd271ade25f1?page=35&searchText=%22Ewald%20sundberg%22,1886 -  1967,,,,Opus 8,,,,,,,,
,K,,9 Sange (Hefte II),,"Grøndahl, Agathe Backer",https://no.wikipedia.org/wiki/Agathe_Backer_Grøndahl,1847 - 1907,,,,,,,,Arr. Per Winge,,,Ikke noe særlig!,,,Brødrene Hals,1193 - 1195,
4,K,x,Albumblad,https://musescore.com/user/26911315/scores/10963522,"Grøndahl, Agathe Backer",https://no.wikipedia.org/wiki/Agathe_Backer_Grøndahl,1847 - 1907,,,,,,1894,,Op. 35 No. 2,,,,,IMSLP,Brødrene Hals,758,
3,K,x,Allegro Scherzando,https://musescore.com/user/26911315/scores/10936711,"Grøndahl, Agathe Backer",https://no.wikipedia.org/wiki/Agathe_Backer_Grøndahl,1847 - 1907,,,,,,1894,,Op. 35 No. 1,,,,,IMSLP,Brødrene Hals,757,
1,K,x,Ballade,https://musescore.com/user/26911315/scores/10662400,"Grøndahl, Agathe Backer",https://no.wikipedia.org/wiki/Agathe_Backer_Grøndahl,1847 - 1907,,,,,,1895,,Op. 36 No. 5,,,,,Ikke egne noter,Brødrene Hals,837,
3,K,x,Bedstemors Menuet,https://musescore.com/user/26911315/scores/10209757,"Grøndahl, Agathe Backer",https://no.wikipedia.org/wiki/Agathe_Backer_Grøndahl,1847 - 1907,,,,,,1902,,Op. 55 No. 7,,,,,,,,
4,K,x,Caprice,https://musescore.com/user/26911315/scores/22831975,"Grøndahl, Agathe Backer",https://no.wikipedia.org/wiki/Agathe_Backer_Grøndahl,1847 - 1907,,,,,,1888,,,,,,,,Brødrene Hals,365 (618),
3,K,x,De gamles vals,https://musescore.com/user/26911315/scores/12485125,"Grøndahl, Agathe Backer",https://no.wikipedia.org/wiki/Agathe_Backer_Grøndahl,1847 - 1907,,,,,,1897,,Op. 40 No. 2. Piano arr. Per Winge 1907,,,,,,Brødrene Hals,1193,
,,,Der kommer de Aar,,"Grøndahl, Agathe Backer",https://no.wikipedia.org/wiki/Agathe_Backer_Grøndahl,1847 - 1907,,,,,,,,Opus 49 no 2. Piano arr. Per Winge,,,,,,Brødrene Hals,1195,
,K,x,Det står en Sorg,https://musescore.com/user/26911315/scores/5965041,"Grøndahl, Agathe Backer",https://no.wikipedia.org/wiki/Agathe_Backer_Grøndahl,1847 - 1907,,Vilhelm Krag,https://no.wikipedia.org/wiki/Vilhelm_Krag,1871 - 1933,,1898,,Publisert privat.,,,,,,,,
2,K,x,Etude - Opus 32 No 1.,https://musescore.com/user/26911315/scores/24032236,"Grøndahl, Agathe Backer",https://no.wikipedia.org/wiki/Agathe_Backer_Grøndahl,1847 - 1907,,,,,,1895,,,,,,,IMSLP,Wilhelm Hansen,,
4,K,x,Etude de concert - Opus 11 No 3.,https://musescore.com/user/26911315/scores/13744618,"Grøndahl, Agathe Backer",https://no.wikipedia.org/wiki/Agathe_Backer_Grøndahl,1847 - 1907,,,,,,1881,,Op. 11 No 3,,,,,,Carl Warmuth,766,
5,K,x,Etude de concert - Opus 11 No 6.,https://musescore.com/user/26911315/scores/8593307,"Grøndahl, Agathe Backer",https://no.wikipedia.org/wiki/Agathe_Backer_Grøndahl,1847 - 1907,,,,,,1882,,Op. 11 No 6,,,,,,Norsk Musikforlag,828,
,K,,Etude A-minor,,"Grøndahl, Agathe Backer",https://no.wikipedia.org/wiki/Agathe_Backer_Grøndahl,1847 - 1907,,,,,,,,Uferdig,,,,,,,,
3,K,x,Friskt Mod!,https://musescore.com/user/26911315/scores/12037630,"Grøndahl, Agathe Backer",https://no.wikipedia.org/wiki/Agathe_Backer_Grøndahl,1847 - 1907,,,,,,1895,,Op. 36 No. 2,,,,,PDF,Brødrene Hals,837,
5,K,x,Huldreslaat,https://musescore.com/user/26911315/scores/13279543,"Grøndahl, Agathe Backer",https://no.wikipedia.org/wiki/Agathe_Backer_Grøndahl,1847 - 1907,,,,,,1887,,,,,,,,Carl Warmuth,432a,
4,K,x,Humoreske,https://musescore.com/user/26911315/scores/8844099,"Grøndahl, Agathe Backer",https://no.wikipedia.org/wiki/Agathe_Backer_Grøndahl,1847 - 1907,,,,,,1885,,Warmuth No 1000,,,,,,Carl Warmuth,1000,
,K,,Humoreske,https://musescore.com/user/26911315/scores/8844099,"Grøndahl, Agathe Backer",https://no.wikipedia.org/wiki/Agathe_Backer_Grøndahl,1847 - 1907,,,,,,1907,,Op. 69 No 2,,,,,,,,
4,K,x,Humoresque,https://musescore.com/user/26911315/scores/9264154,"Grøndahl, Agathe Backer",https://no.wikipedia.org/wiki/Agathe_Backer_Grøndahl,1847 - 1907,,,,,,1882,,Op. 15 No. 3,,,,,,,,
2,K,x,Kløvereng,https://musescore.com/user/26911315/scores/5943701,"Grøndahl, Agathe Backer",https://no.wikipedia.org/wiki/Agathe_Backer_Grøndahl,1847 - 1907,,"Caspari, Theodor",https://no.wikipedia.org/wiki/Theodor_Caspari,1853 - 1948,,ca 1903,,Op. 62 No 1,,,,,,Brødrene Hals,1098,
,K,,Lind,,"Grøndahl, Agathe Backer",https://no.wikipedia.org/wiki/Agathe_Backer_Grøndahl,1847 - 1907,,,,,,,,Op. 23 No 1,,,,,,,,
4,K,x,Menuet,https://musescore.com/user/26911315/scores/12837178,"Grøndahl, Agathe Backer",https://no.wikipedia.org/wiki/Agathe_Backer_Grøndahl,1847 - 1907,,,,,,1878,,,,,,,,Carl Warmuth,432,
3,K,x,"Mor, min lille mor",https://musescore.com/user/26911315/scores/5948527,"Grøndahl, Agathe Backer",https://no.wikipedia.org/wiki/Agathe_Backer_Grøndahl,1847 - 1907,,Vilhelm Krag,https://no.wikipedia.org/wiki/Vilhelm_Krag,1871 - 1933,,1897,,,,,,,,,,
2,K,x,Nocturne,https://musescore.com/user/26911315/scores/17304421,"Grøndahl, Agathe Backer",https://no.wikipedia.org/wiki/Agathe_Backer_Grøndahl,1847 - 1907,,,,,,1907,,Op. 69 No 1,,,,,,Brødrene Hals,1177,
3,K,x,Norske folkeviser of folkedanse,https://musescore.com/user/26911315/scores/9507901,"Grøndahl, Agathe Backer",https://no.wikipedia.org/wiki/Agathe_Backer_Grøndahl,1847 - 1907,,,,,,1891,,Op. 30,,,,,,Carl Warmuth,1767,
2,K,x,Opus 20 No 1. - Prélude,https://musescore.com/user/26911315/scores/23298736,"Grøndahl, Agathe Backer",https://no.wikipedia.org/wiki/Agathe_Backer_Grøndahl,1847 - 1907,,,,,,1887,,Op. 20 No 1,,,,,,Carl Warmuth,1311,
2,K,x,Opus 20 No 2 - Nocturne,https://musescore.com/user/26911315/scores/23437294,"Grøndahl, Agathe Backer",https://no.wikipedia.org/wiki/Agathe_Backer_Grøndahl,1847 - 1907,,,,,,1887,,Op. 20 No 2,,,,,,Carl Warmuth,1312,
4,K,x,Opus 20 No 4 - Menuet,https://musescore.com/user/26911315/scores/11894677,"Grøndahl, Agathe Backer",https://no.wikipedia.org/wiki/Agathe_Backer_Grøndahl,1847 - 1907,,,,,,1887,,Op. 20 No 4,,,,,,Carl Warmuth,1314,
3,K,x,Opus 22 No. 2 - Au rouet,https://musescore.com/user/26911315/scores/18378763,"Grøndahl, Agathe Backer",https://no.wikipedia.org/wiki/Agathe_Backer_Grøndahl,1847 - 1907,,,,,,1888,,Op. 22 No. 2,,,,,,Carl Warmuth,1374,
,,,Opus 32 No. 1 - Etude,,"Grøndahl, Agathe Backer",https://no.wikipedia.org/wiki/Agathe_Backer_Grøndahl,1847 - 1907,,,,,,,,,,,,,,,,
3,K,x,Opus 53 No. 1 - Serenade,https://musescore.com/user/26911315/scores/20151955,"Grøndahl, Agathe Backer",https://no.wikipedia.org/wiki/Agathe_Backer_Grøndahl,1847 - 1907,,,,,,1901,,Op. 53 No 1,,,,,,Carl Warmuth,2531,
2,K,x,Opus 53 No. 2 - Albumblad,https://musescore.com/user/26911315/scores/20250304,"Grøndahl, Agathe Backer",https://no.wikipedia.org/wiki/Agathe_Backer_Grøndahl,1847 - 1907,,,,,,1901,,Op. 53 No 2,,,,,,Carl Warmuth,2532,
2,K,x,Opus 53 No. 3 - Valse Caprice,https://musescore.com/user/26911315/scores/20445535,"Grøndahl, Agathe Backer",https://no.wikipedia.org/wiki/Agathe_Backer_Grøndahl,1847 - 1907,,,,,,1901,,Op. 53 No 3,,,,,,Carl Warmuth,2533,
4,K,x,Paa Ballet (Au Bal),https://musescore.com/user/26911315/scores/9235327,"Grøndahl, Agathe Backer",https://no.wikipedia.org/wiki/Agathe_Backer_Grøndahl,1847 - 1907,,,,,,1882,,Op. 15 No. 2,,,,,,,,
3,K,x,Rosernes Sang,https://musescore.com/user/26911315/scores/8896965,"Grøndahl, Agathe Backer",https://no.wikipedia.org/wiki/Agathe_Backer_Grøndahl,1847 - 1907,,,,,,1896,,Op. 39 No. 4,,,,,,,,
4,K,x,Serenade,https://musescore.com/user/26911315/scores/9174909,"Grøndahl, Agathe Backer",https://no.wikipedia.org/wiki/Agathe_Backer_Grøndahl,1847 - 1907,,,,,,1882,,Op. 15 No. 1,,,,,,,,
3,K,x,Six Idylles - No 1,https://musescore.com/user/26911315/scores/17285905,"Grøndahl, Agathe Backer",https://no.wikipedia.org/wiki/Agathe_Backer_Grøndahl,1847 - 1907,,,,,,1888,,Op. 24 No. 1,,,,,PDF,Carl Warmuth,1373,
,K,,Six Idylles - No 2,,"Grøndahl, Agathe Backer",https://no.wikipedia.org/wiki/Agathe_Backer_Grøndahl,1847 - 1907,,,,,,1888,,Op. 24 No. 2,,,,,PDF,Carl Warmuth,1373,
2,K,x,Six Idylles - No 4,https://musescore.com/user/26911315/scores/23831314,"Grøndahl, Agathe Backer",https://no.wikipedia.org/wiki/Agathe_Backer_Grøndahl,1847 - 1907,,,,,,1888,,Op. 24 No. 4,,,,,PDF,Carl Warmuth,1373,
3,K,x,Skizze 1,https://musescore.com/user/26911315/scores/13215568,"Grøndahl, Agathe Backer",https://no.wikipedia.org/wiki/Agathe_Backer_Grøndahl,1847 - 1907,,,,,,1886,,Op. 19 No. 1,,,,,,Carl Warmuth,1201,
2,K,x,Skizze 2,https://musescore.com/user/26911315/scores/13234024,"Grøndahl, Agathe Backer",https://no.wikipedia.org/wiki/Agathe_Backer_Grøndahl,1847 - 1907,,,,,,1886,,Op. 19 No. 2,,,,,,Carl Warmuth,1202,
4,K,x,Sommervise,https://musescore.com/user/26911315/scores/9922999,"Grøndahl, Agathe Backer",https://no.wikipedia.org/wiki/Agathe_Backer_Grøndahl,1847 - 1907,,,,,,1897,,Op. 45 No. 3,,,,,,Brødrene Hals,914,
,,,Sov saa stille.,,"Grøndahl, Agathe Backer",https://no.wikipedia.org/wiki/Agathe_Backer_Grøndahl,1847 - 1907,,,,,,,,Opus 42 No 8. Piano arr. Per Winge,,,,,,Brødrene Hals,1194,
,K,x,Vuggevise - Cradle song,https://musescore.com/user/26911315/scores/10364080,"Grøndahl, Agathe Backer",https://no.wikipedia.org/wiki/Agathe_Backer_Grøndahl,1847 - 1907,,,,,,1895,,Op. 36 No. 4,,,,,PDF,Brødrene Hals,837,
,K,x,Østvinden,https://musescore.com/user/26911315/scores/6043315,"Grøndahl, Agathe Backer",https://no.wikipedia.org/wiki/Agathe_Backer_Grøndahl,1847 - 1907,,Bernard Severin Ingemann,https://nn.wikipedia.org/wiki/Bernhard_Severin_Ingemann,1789 - 1862,,1902,,Op. 56 No 2,,,,,,Haakon Zapffe,970,
,,,Ung Magnus,,"Grøndahl, Olaus Andreas",https://en.wikipedia.org/wiki/Olaus_Andreas_Grøndahl,1847 - 1923,,Bjørnstjerne Bjørnson,https://no.wikipedia.org/wiki/Bjørnstjerne_Bjørnson,1832- 1910,,1873,,,,,,,,Warmuths Musikforlag,89,
,,x,Fleurs D'Automne,https://musescore.com/user/26911315/scores/6699643,"Grøntvedt, Mathias",https://www.nb.no/items/9dec8b555cc7414583c3e66c92b87b19?page=217&searchText=%22Mathias%20Grøntvedt%22,1867 - 1936,,,,,,1910,,,,,,,,,,
5,,x,Den sidste vals,https://musescore.com/user/26911315/scores/25062991,"Gunnersen, Henrich",,1871 - 1939,,,,,,1899,,Opus 7,,,,,,Haakon Zapffe,462,
,,,Honørmarsch,https://musescore.com/user/26911315/scores/25303111,"Haaland, Ingebregt",https://snl.no/Ingebret_Haaland,1878 - 1934,,,,,,1912,,To Roald Amundsen,,,,,,Haakon Zapffe,1081,
3,,,Bondeidyl,,"Haarklou, Johannes",https://no.wikipedia.org/wiki/Johannes_Haarklou,1847 - 1925,,,,,,1885,,,,,,,,Carl Warmuth,1000,
,,,Forsvarssang,,"Haarklou, Johannes",https://no.wikipedia.org/wiki/Johannes_Haarklou,1847 - 1925,,Jacob Breda Bull,https://no.wikipedia.org/wiki/Jacob_Breda_Bull,1853 - 1930,,1898,,,,,,,,Norsk Musikforlag,4147a,
2,,,Med röde Roser,,"Haarklou, Johannes",https://no.wikipedia.org/wiki/Johannes_Haarklou,1847 - 1925,,Knut Hamsun,https://no.wikipedia.org/wiki/Knut_Hamsun,1859 - 1952,,1905,,Op 23 No 1,,,,,,,,
2,,x,Meget lette klaverstykker,https://musescore.com/user/26911315/scores/8697798,"Haarklou, Johannes",https://no.wikipedia.org/wiki/Johannes_Haarklou,1847 - 1925,,,,,,1907,,Op. 26,,,,,,Oluf By,322,
4,,x,Norske Danse,https://musescore.com/user/26911315/scores/8407370,"Haarklou, Johannes",https://no.wikipedia.org/wiki/Johannes_Haarklou,1847 - 1925,,,,,,1907,,Op 31,,,,,,Oluf By,327,
,,,Olaf den Hellige,,"Haarklou, Johannes",https://no.wikipedia.org/wiki/Johannes_Haarklou,1847 - 1925,,,,,,1897,,Op. 44,,,,,,Carl Warmuth,2223,
3,,x,Gondellied,https://musescore.com/user/26911315/scores/16489399,"Haberbier, Ernst ",https://en.wikipedia.org/wiki/Ernst_Haberbier,1813 - 1869,,,,,,1861,,"Op. 53, no 2",,,,,,"Aug. Cranz, Hamburg",,
5,,x,"Paraphrase over ""Sang til Bergen""",https://musescore.com/user/26911315/scores/14032561,"Haberbier, Ernst ",https://en.wikipedia.org/wiki/Ernst_Haberbier,1813 - 1869,,,,,,1860,,,,,,,,C. Rabe Bergen,,
5,,x,Sang uden ord,https://musescore.com/user/26911315/scores/19157881,"Haberbier, Ernst ",https://en.wikipedia.org/wiki/Ernst_Haberbier,1813 - 1869,,,,,,1883,,Nordisk Musiktidende No 7 1883,,,,,,,,
2,,x,Exhibition-marches Leipzig 1897,https://musescore.com/user/26911315/scores/7993238,"Hahn, Adam
Rennert, Bruno
Trommer , Andreas Christian",,"1875 - 1943
1871? - ?
1836 - 1916",,,,,,1897,,,,,,,,,,
3,K,x,Præludium,https://musescore.com/user/26911315/scores/13338352,"Hall, Marie",,1845 - 1921,,,,,,1911,,,,,,,,Haakon Zapffe,1031,
,K,,Valse gracieuse,https://musescore.com/user/26911315/scores/8691387,"Hall, Marie",,1845 - 1921,,,,,,1907,,,,,,,"Ufullstendig note! (Lånt ""resten"" på NB)",Brødrene Hals,1175,
,K,,Auf einer Wiese,,"Hall, Pauline",,1890 - 1969,,Grisbach,,,,,,,,,,,,,,
4,K,,Vinteraften,,"Hall, Pauline",,1890 - 1969,,,,,,,,,,,,,,Wilhelm Hansen,11658,
4,K,,Mindetoner,https://musescore.com/user/26911315/scores/16846375,"Halvorsen, Inger",,?,,,,,,,,Manuscript,,,,,,,,
,,x,Bojarenes indtogsmarsj,https://musescore.com/user/26911315/scores/6293255,"Halvorsen, Johan",https://no.wikipedia.org/wiki/Johan_Halvorsen,1864 - 1935,,,,,,1895,,Arr. Edvard Grieg,,,,,,,,
,,x,Danebrogsangen,https://musescore.com/user/26911315/scores/6806093,"Halvorsen, Johan",https://no.wikipedia.org/wiki/Johan_Halvorsen,1864 - 1935,,Jacob Breda Bull,https://no.wikipedia.org/wiki/Jacob_Breda_Bull,1853 - 1930,,1901,,,,,,,,,,
,,x,Sangen om Iver Huitfeldt,https://musescore.com/user/26911315/scores/6806013,"Halvorsen, Johan",https://no.wikipedia.org/wiki/Johan_Halvorsen,1864 - 1935,,Jacob Breda Bull,https://no.wikipedia.org/wiki/Jacob_Breda_Bull,1853 - 1930,,1901,,,,,,,,Warmuths Musikforlag,2731,
3,,x,Chant de Veslemöy - Veslemøy's sang,https://musescore.com/user/26911315/scores/18529186,"Halvorsen, Johan",https://no.wikipedia.org/wiki/Johan_Halvorsen,1864 - 1935,,,,,,1898,,From the suite Mosaiq,,,,,,,,
2,,,Østerdalsmarschen,,"Halvorsen, Johan",https://no.wikipedia.org/wiki/Johan_Halvorsen,1864 - 1935,,Ivar Mortensson-Egnund,https://no.wikipedia.org/wiki/Ivar_Mortensson-Egnund,1857 - 1934,,1906,,Op. 23,,,Østerdølsmarschen,https://lokalhistoriewiki.no/wiki/Østerdalsmarsjen,,,,
3,,x,Haneborgs Brude-Marsch,https://musescore.com/user/26911315/scores/11338162,"Haneborg, Anders C.",https://www.nb.no/items/afe1feb18a29103b767a0da0da0f1127?page=5&searchText=%22Anders%20C.%20Haneborg%22,1838 - 1912,,,,,,1908,,,,,,,PDF,Haakon Zapffe,849,
5,,x,Margaretha Polenaise og Vals,https://musescore.com/user/26911315/scores/11043088,"Haneborg, Anders C.",https://www.nb.no/items/afe1feb18a29103b767a0da0da0f1127?page=5&searchText=%22Anders%20C.%20Haneborg%22,1838 - 1912,,,,,,1905,,,,,,,PDF,Haakon Zapffe,696,
4,K,x,Barnesang,https://musescore.com/user/26911315/scores/9787735,"Hanneborg, Augusta",,1864 - 1952,,,,,,1900,,,,,,,,Carl Warmuth,2462,
,,,Mors-Sange (3),,"Hansen Spalder, Fridthjof",https://lokalhistoriewiki.no/wiki/Frithjof_Spalder_(1896–1985),1896 - 1985,,Jac. Haug + ukjent,,,,1920/21,,,,,,,,Haakon Zapffe,1174 +78/79,
4,,x,Agathe-Gavotte,https://musescore.com/user/26911315/scores/23964868,"Hansen, Adolf",https://snl.no/Adolf_Hansen,1852 - 1911,,,,,,1889,,Op. 110,,,,,,Carl Warmuth,1493,
2,,x,Bachfisch Polka,https://musescore.com/user/26911315/scores/8678808,"Hansen, Adolf",https://snl.no/Adolf_Hansen,1852 - 1911,,,,,,1904,,Op. 203,,,,,,Brødrene Hals,1123,
4,,x,Bellevue-Marsch,https://musescore.com/user/26911315/scores/8583311,"Hansen, Adolf",https://snl.no/Adolf_Hansen,1852 - 1911,,,,,,1897,,,,,,,Ikke egne noter.,C. Rabe Bergen,,
3,,x,Benny-vals,https://musescore.com/user/26911315/scores/13962862,"Hansen, Adolf",https://snl.no/Adolf_Hansen,1852 - 1911,,,,,,1905,,Opus 211,,,,,Nasjonalbibliotek,,,
3,,,Damernes Rheinlender,,"Hansen, Adolf",https://snl.no/Adolf_Hansen,1852 - 1911,,,,,,1884,,,,,,,,,,
5,,x,Danse-Album for Börn,https://musescore.com/user/26911315/scores/10045720,"Hansen, Adolf",https://snl.no/Adolf_Hansen,1852 - 1911,,,,,,1899,,Op. 160,,,,,,Haakon Zapffe,477,
5,,x,Dronning Mauds Polka,https://musescore.com/user/26911315/scores/8166699,"Hansen, Adolf",https://snl.no/Adolf_Hansen,1852 - 1911,,,,,,1905,,Op. 212,,,,,Ikke egne noter.,Oluf By's Musikforlag,255,
3,,x,Fantasi Française,https://musescore.com/user/26911315/scores/8351009,"Hansen, Adolf",https://snl.no/Adolf_Hansen,1852 - 1911,,,,,,1884,,Op. 61,,,,,,Petter Håkonsens forlag,291,
4,,x,Fest-Marsch,https://musescore.com/user/26911315/scores/10707583,"Hansen, Adolf",https://snl.no/Adolf_Hansen,1852 - 1911,,,,,,1882,,Op. 46,,,,,,Petter Håkonsens forlag,68,
5,,x,Festmarsch - Christiania Tivoli,https://musescore.com/user/26911315/scores/10329622,"Hansen, Adolf",https://snl.no/Adolf_Hansen,1852 - 1911,,,,,,1878,,,,,,,,Carl Warmuth,391,
4,,x,Fra Karl Johan,https://musescore.com/user/26911315/scores/14423833,"Hansen, Adolf",https://snl.no/Adolf_Hansen,1852 - 1911,,,,,,1884,,,,,,,,Petter Håkonsens forlag,289,
4,,x,Gavotte,https://musescore.com/user/26911315/scores/8824479,"Hansen, Adolf",https://snl.no/Adolf_Hansen,1852 - 1911,,,,,,1881,,Op. 43,,,,,,Petter Håkonsens forlag,24,
3,,,Kanin-polka,,"Hansen, Adolf",https://snl.no/Adolf_Hansen,1852 - 1911,,,,,,1889?,,Op. 93,,,,,,Revyen,,
4,,x,Kinesisk Marsch,https://musescore.com/user/26911315/scores/9028874,"Hansen, Adolf",https://snl.no/Adolf_Hansen,1852 - 1911,,,,,,1886,,,,,,,,Carl Warmuth,1119,
3,,x,Kunstner-Galop,https://musescore.com/user/26911315/scores/12751279,"Hansen, Adolf",https://snl.no/Adolf_Hansen,1852 - 1911,,,,,,1882,,Op. 49,,,,,,Carl Warmuth,821,
,,x,Lilli Gavotte,https://musescore.com/user/26911315/scores/6120868,"Hansen, Adolf",https://snl.no/Adolf_Hansen,1852 - 1911,,,,,,1895,,Op. 172,,,,,,,,
2,,,Rheinländer I & II,,"Hansen, Adolf",https://snl.no/Adolf_Hansen,1852 - 1911,,,,,,,,,,,,,,,,
