Kommentarer (0-5),Kvinne,Musescore,Melodi,Komponist,Levde når,Lyrikk,Unnamed: 7,Når komponert,Unnamed: 9,Unnamed: 10,Diverse kommentarer,Egne noter,Forlag,Platenr.,Unnamed: 15
,,x,Svundne Dage,"Elling, Catharinus",1858 - 1942,,,1908,,,,,Oluf By,387/388,
5,,x,Vals,"Elling, Catharinus",1858 - 1942,,,1878,Opus 1,,,,,,
,,,Walzer,"Elling, Catharinus",1858 - 1942,,,1888,Opus 28 No. 6,,,,Berlin,,
,,x,Åbne vande,"Elling, Catharinus",1858 - 1942,Bjørnstjerne Bjørnson,1832- 1910,1893,Published 1895,,,,Wilhelm Hansen,,
4,K,x,Barnedage,"Enger, Nelly",1873 - 1953,,,1921,Op 9,,,,Norsk Musikforlag,4983,
,K,x,Mot høst,"Enger, Nelly",1873 - 1953,,,1917,Op 7 No. 2,,,,Norsk Musikforlag,4772,
4,K,x,Skizzer,"Enger, Nelly",1873 - 1953,,,1903,Op. 3,,,,Carl Warmuth,2617,
3,,x,Bachfischen,"Enger, Svend",1872 - 1938,,,1911/1912,,,,,Haakon Zapffe,1138,
,,,Bryllupsfest,"Enger, Svend",1872 - 1938,,,1920,Op 4,,,,Oluf By,1633,
,,x,Til Dig,"Enger, Svend",1872 - 1938,,,1915,,,,,,,
4,,x,Ballade,"Eriksen, Oluf Emil",1841 - 1911,,,1883,Op. 6,,,,Carl Warmuth,881,
,,x,Stille sorg,"Espen, Theodor (Carl Gaenschals)",1847 - 1906,,,1893,Op. 21,,,,,,
,,,Andante religioso,"Evje, Johan",1874 - 1962,,,1898,Op. 1 no 2,,,,Carl Warmuth,2320,
3,,x,Berceuse,"Evje, Johan",1874 - 1962,,,1898,Op. 1 no 3,,,,Carl Warmuth,2321,
4,,x,Albumblatt,"Exner, Gustav",1857 - 1924,,,1880,,,,,Carl Warmuth,638,
5,,x,4 sanger,"Falck-Andersen, Egil",1900 - 1951,"Johan Falkberget, Arne Garborg",,,Never published,,,,Håndskrevne noter,,
3,K,x,Regatta-vals,"Falk-Muus, Elise",1861 - 1939,,,1906,"Opus 4 - Tilegnet ""Kongelig Norsk Seilforening""",,,,Oluf By,,
,K,x,Skumring,"Falk-Muus, Elise",1861 - 1939,,,1904,,,,,Eget forlag,E. S. 909,
5,K,x,"Norge, mit Norge!","Falsen, Maria",1860 - 1948,"Caspari, Theodor",1853 - 1948,1911,,,,PDF,Oluf By,1281,
5,,x,Zigenerskan,"Faust, Carl",1825 - 1892,,,1862/63,"Published Stockholm 1883, Opus 104",,,,"Abraham Lindquist, Stockholm",,
,K,,Humoreske,"Faye-Hansen, Agnethe",1875 - 1935,,,1896,,,IMSLP,Ikke egne noter,Haakon Zapffe,,
5,,x,Opie,"Fenstad, Emil A",1870 - 1941,,,1901,Published 1910,,,PDF,"Fischer, New York",,
,,,Lefve Konungen!,"Fexer, Carl Bernhard",1835 - 1914,,,1889,,,,,,,
,,,Fredsbøn,"Finstad, Else",,,,1917,"Based on Nordraak's ""Troubadour-waltz""",,,,,,
3,,x,Vuggevise,"Fjeldstad, Øivin",1903 - 1983,,,1928,,,,,Musikcentralens Forlag,1026,
5,,x,Kronprins Olav Gavotte,"Flössel, Paul",1872 - 1906,,,1906,Opus 21,,,Nasjonalbiblioteket,Brødrene Hals,1163,
4,,x,"Op, vort Flag!","Fonstad, Kristian",1856 -1933,"Fonstad, Kristian",1856 -1933,1905,,,,,Oluf By,209,
3,,x,Vaar,"Fonstad, Kristian",1856 - 1933,"Fonstad, Kristian",1856 - 1933,1909,,,Tilegnet Nydalens Sangforening.,,Oluf By,,
3,,x,Cäcilien-Rheinländer,"Forwald, Rudolph Magnus",1869 - 1936,,,1899,Opus 1,,,,Haakon Zapffe,440,
5,,x,Eg elskar dei voggande tonar,"Forwald, Rudolph Magnus",1869 - 1936,Petra Kvisli (Hilde),1874 - 1947,1906,,,,,Haakon Zapffe,767,
3,,x,In Dulci Jubilo - Jeg synger Julekvad,"Forwald, Rudolph Magnus",1869 - 1936,"Landstad, Magnus Brostrup",1802 - 1880,1922,Opus 42,,,,Norsk Musikforlag,6103,
3,,x,Kimer i klokker,"Forwald, Rudolph Magnus",1869 - 1936,"Grundtvig, Nikolai F.",1783 - 1872,1922,,,,,Norsk Musikforlag,5035,
3,,x,"Parafrase over ""Jeg er saa glad hver Julekveld""","Forwald, Rudolph Magnus",1869 - 1936,"Wexelsen, Marie ",1832 - 1911,1909,,,,,,,
3,,x,"Paraphrase over ""Jeg tog min nystemte Zithar i hænde""","Forwald, Rudolph Magnus",1869 - 1936,,,1914,Opus 35,,,,Oluf By,1384,
,,,A girls dream,"Foss, Trygve",,,,1911,,,,,Haakon Zapffe,998,
5,,x,Rose de Provence,French folksong,,,,<1700,,,,,,,
,,,Flory,"Frydenlund, Leif",?,,,1917,,,,,Oluf By's Musikforlag,1511,
5,K,x,Tre sange,"Gaarder, Helene",1852 - 1933,?,,1881,,,,,Ole Olsens Musikhandel,,
1,,x,Menuet,"Gael, Henri van",1846 - 1917,,,,,,,,,,
2,,x,Frühlings-Erwarchen,"Gaenschals, Carl (Theodor Espen)",1847 - 1906,,,1892,Opus 76,,,,Fr. Portius,523 (1504),
5,,X,Spinn! Spinn!,"Gaenschals, Carl (Theodor Espen)",1847 - 1906,,,1893,Opus 80,,,,,,
3,,,Haap og lengsel,"Galaaen, Ingulf",1886 - 1935,,,1926,,,,,Eget forlag,,
4,K,x,Pizzicato,"Gasparini, Jole",1882 - ?,,,1910,,,,,Italia,,
,,,Nur eine Nacht sollst du mir gehören,"Geiger, Oskar",1889 - 1966,,,,,,,,,,
,,,Paul und Virginie,"Giese, Theodor",1828 - 1886,,,1858,,,,,Neupert,,
3,,x,Pizzicati,"Gillet, Ernst",1856 - 1940,,,1894,,,,,Brødrene Hals,710,
4,,x,Keep Cool!,"Gleene, James",?,,,1917,,,,,Skandinavisk Musikforlag,503,
4,,x,Turner marsch,"Glomsaas, Knut",1863 - 1935,,,1889,,,,,Carl Warmuth,1909-1910,
4,,x,Ballade,"Gløersen, Christian August",1892 - 1922,,,,Musik for Hjemmet Julenummer 1927.,,,,,,
,,x,Mazurka de Salon,"Gløersen, Christian August",1892 - 1922,,,1907,,,,,Brødrene Hals,1182,
,,,Twilight,"Goldmark, Rubin",,,,1904,Op. 7 No 1.,,,,,,
4,,x,Gavotte d'amour,"Gottschalksen, Carl",1854 - 1939,,,1903,,,,,Oluf By's Musikforlag,74,
,K,x,Bøn,"Gran, Clara",1876 - 1948,E.T.,?,1909?,Sung by Martha Vestby this year,,,,Oluf By's Musikforlag,1630,
3,,x,Albumblad,"Grieg, Edvard",1843 - 1907,,,1878,(Also Warmuth's no 1000 publication from 1885),,,,Carl Warmuth,1000,
,,x,An den Frühling,"Grieg, Edvard",1843 - 1907,,,1886,,,,,,,
,,,Den gamle vise,"Grieg, Edvard",1843 - 1907,,,1864,Op. 4 no 5.,,,,,,
5,,x,Jeg går i tusind tanker,"Grieg, Edvard",1843 - 1907,,,1896,Op. 66 No 18.,,,,,,
5,,x,Opus 61 (Barnlige sange),"Grieg, Edvard",1843 - 1907,(Bjørnson & Rolfsen),,1894,Op. 61,,,ISMLP + egne noter,Brødrene Hals,749 - 755,
,,x,Lad os hvirvle velkomstsangen,"Grieg, Edvard",1843 - 1907,"Skavlan, Sigvald",1839 - 1912,<1874,Norges Melodier III,,,,,,
3,,x,Landkiending,"Grieg, Edvard",1843 - 1907,"Bjørnson, Bjørnstjerne",1832- 1910,1872,Opus 31. Arr. Eyvind Alnæs,,,,Norsk Musikforlag,4518,
2,,x,Larvikspolka,"Grieg, Edvard",1843 - 1907,,,1858,Grieg's first composition,,,Fra nettet,,EG 101,
2,,x,Opus 17,"Grieg, Edvard",1843 - 1907,,,1869,25 Norske Folkeviser og Dandse,,,,,,
,,x,Opus 66,"Grieg, Edvard",1843 - 1907,,,1896,Opus 66,,,IMSLP,Edition Peters,,
,,x,Prinsessen,"Grieg, Edvard",1843 - 1907,Bjørnstjerne Bjørnson,1832- 1910,,,,,,,,
5,,x,Solveigs sang,"Grieg, Edvard",1843 - 1907,,,1875,Arr: For violin and piano Anton Svendsen,,,,Wilhelm Hansen,,
3,,x,"Opus 5, no 1 - To brune øine","Grieg, Edvard",1843 - 1907,"Andersen, Hans Christian",1805 - 1875,1864,Op. 5 no. 1,,,,,,
3,,x,"Opus 9, no 4 - Udfarten","Grieg, Edvard",1843 - 1907,"Munch, Andreas",1811 - 1885,1863 - 1866,Op. 9 no. 4,,,,,,
2,,x,"Opus 18, no 7 - Hytten","Grieg, Edvard",1843 - 1907,"Andersen, Hans Christian",1805 - 1875,1865,Op. 18 no. 7,,,,,,
3,,x,"Opus 33, no 9 - Ved Rondane","Grieg, Edvard",1843 - 1907,"Vinje, Aasmund Olavsson ",1818 - 1870,1880,Op. 33 no. 9,,,,,,
5,,x,Smaatrold,"Grüner-Hegge, Odd",1899 - 1973,,,1906,Composed about 6 years old!,,,,,,
5,,,"Sov, min prinsesse, sov ind","Grøn, Andreas Fenger",1884 - 195?,Ewald Sundberg,1886 -  1967,,Opus 8,,,,,,
,K,,9 Sange (Hefte II),"Grøndahl, Agathe Backer",1847 - 1907,,,,Arr. Per Winge,,Ikke noe særlig!,,Brødrene Hals,1193 - 1195,
4,K,x,Albumblad,"Grøndahl, Agathe Backer",1847 - 1907,,,1894,Op. 35 No. 2,,,IMSLP,Brødrene Hals,758,
3,K,x,Allegro Scherzando,"Grøndahl, Agathe Backer",1847 - 1907,,,1894,Op. 35 No. 1,,,IMSLP,Brødrene Hals,757,
1,K,x,Ballade,"Grøndahl, Agathe Backer",1847 - 1907,,,1895,Op. 36 No. 5,,,Ikke egne noter,Brødrene Hals,837,
3,K,x,Bedstemors Menuet,"Grøndahl, Agathe Backer",1847 - 1907,,,1902,Op. 55 No. 7,,,,,,
4,K,x,Caprice,"Grøndahl, Agathe Backer",1847 - 1907,,,1888,,,,,Brødrene Hals,365 (618),
3,K,x,De gamles vals,"Grøndahl, Agathe Backer",1847 - 1907,,,1897,Op. 40 No. 2. Piano arr. Per Winge 1907,,,,Brødrene Hals,1193,
,,,Der kommer de Aar,"Grøndahl, Agathe Backer",1847 - 1907,,,,Opus 49 no 2. Piano arr. Per Winge,,,,Brødrene Hals,1195,
,K,x,Det står en Sorg,"Grøndahl, Agathe Backer",1847 - 1907,Vilhelm Krag,1871 - 1933,1898,Publisert privat.,,,,,,
2,K,x,Etude - Opus 32 No 1.,"Grøndahl, Agathe Backer",1847 - 1907,,,1895,,,,IMSLP,Wilhelm Hansen,,
4,K,x,Etude de concert - Opus 11 No 3.,"Grøndahl, Agathe Backer",1847 - 1907,,,1881,Op. 11 No 3,,,,Carl Warmuth,766,
5,K,x,Etude de concert - Opus 11 No 6.,"Grøndahl, Agathe Backer",1847 - 1907,,,1882,Op. 11 No 6,,,,Norsk Musikforlag,828,
,K,,Etude A-minor,"Grøndahl, Agathe Backer",1847 - 1907,,,,Uferdig,,,,,,
3,K,x,Friskt Mod!,"Grøndahl, Agathe Backer",1847 - 1907,,,1895,Op. 36 No. 2,,,PDF,Brødrene Hals,837,
5,K,x,Huldreslaat,"Grøndahl, Agathe Backer",1847 - 1907,,,1887,,,,,Carl Warmuth,432a,
4,K,x,Humoreske,"Grøndahl, Agathe Backer",1847 - 1907,,,1885,Warmuth No 1000,,,,Carl Warmuth,1000,
,K,,Humoreske,"Grøndahl, Agathe Backer",1847 - 1907,,,1907,Op. 69 No 2,,,,,,
4,K,x,Humoresque,"Grøndahl, Agathe Backer",1847 - 1907,,,1882,Op. 15 No. 3,,,,,,
2,K,x,Kløvereng,"Grøndahl, Agathe Backer",1847 - 1907,"Caspari, Theodor",1853 - 1948,ca 1903,Op. 62 No 1,,,,Brødrene Hals,1098,
,K,,Lind,"Grøndahl, Agathe Backer",1847 - 1907,,,,Op. 23 No 1,,,,,,
4,K,x,Menuet,"Grøndahl, Agathe Backer",1847 - 1907,,,1878,,,,,Carl Warmuth,432,
3,K,x,"Mor, min lille mor","Grøndahl, Agathe Backer",1847 - 1907,Vilhelm Krag,1871 - 1933,1897,,,,,,,
2,K,x,Nocturne,"Grøndahl, Agathe Backer",1847 - 1907,,,1907,Op. 69 No 1,,,,Brødrene Hals,1177,
3,K,x,Norske folkeviser of folkedanse,"Grøndahl, Agathe Backer",1847 - 1907,,,1891,Op. 30,,,,Carl Warmuth,1767,
2,K,x,Opus 20 No 1. - Prélude,"Grøndahl, Agathe Backer",1847 - 1907,,,1887,Op. 20 No 1,,,,Carl Warmuth,1311,
2,K,x,Opus 20 No 2 - Nocturne,"Grøndahl, Agathe Backer",1847 - 1907,,,1887,Op. 20 No 2,,,,Carl Warmuth,1312,
4,K,x,Opus 20 No 4 - Menuet,"Grøndahl, Agathe Backer",1847 - 1907,,,1887,Op. 20 No 4,,,,Carl Warmuth,1314,
3,K,x,Opus 22 No. 2 - Au rouet,"Grøndahl, Agathe Backer",1847 - 1907,,,1888,Op. 22 No. 2,,,,Carl Warmuth,1374,
,,,Opus 32 No. 1 - Etude,"Grøndahl, Agathe Backer",1847 - 1907,,,,,,,,,,
3,K,x,Opus 53 No. 1 - Serenade,"Grøndahl, Agathe Backer",1847 - 1907,,,1901,Op. 53 No 1,,,,Carl Warmuth,2531,
2,K,x,Opus 53 No. 2 - Albumblad,"Grøndahl, Agathe Backer",1847 - 1907,,,1901,Op. 53 No 2,,,,Carl Warmuth,2532,
2,K,x,Opus 53 No. 3 - Valse Caprice,"Grøndahl, Agathe Backer",1847 - 1907,,,1901,Op. 53 No 3,,,,Carl Warmuth,2533,
4,K,x,Paa Ballet (Au Bal),"Grøndahl, Agathe Backer",1847 - 1907,,,1882,Op. 15 No. 2,,,,,,
3,K,x,Rosernes Sang,"Grøndahl, Agathe Backer",1847 - 1907,,,1896,Op. 39 No. 4,,,,,,
4,K,x,Serenade,"Grøndahl, Agathe Backer",1847 - 1907,,,1882,Op. 15 No. 1,,,,,,
3,K,x,Six Idylles - No 1,"Grøndahl, Agathe Backer",1847 - 1907,,,1888,Op. 24 No. 1,,,PDF,Carl Warmuth,1373,
,K,,Six Idylles - No 2,"Grøndahl, Agathe Backer",1847 - 1907,,,1888,Op. 24 No. 2,,,PDF,Carl Warmuth,1373,
2,K,x,Six Idylles - No 4,"Grøndahl, Agathe Backer",1847 - 1907,,,1888,Op. 24 No. 4,,,PDF,Carl Warmuth,1373,
3,K,x,Skizze 1,"Grøndahl, Agathe Backer",1847 - 1907,,,1886,Op. 19 No. 1,,,,Carl Warmuth,1201,
2,K,x,Skizze 2,"Grøndahl, Agathe Backer",1847 - 1907,,,1886,Op. 19 No. 2,,,,Carl Warmuth,1202,
4,K,x,Sommervise,"Grøndahl, Agathe Backer",1847 - 1907,,,1897,Op. 45 No. 3,,,,Brødrene Hals,914,
,,,Sov saa stille.,"Grøndahl, Agathe Backer",1847 - 1907,,,,Opus 42 No 8. Piano arr. Per Winge,,,,Brødrene Hals,1194,
,K,x,Vuggevise - Cradle song,"Grøndahl, Agathe Backer",1847 - 1907,,,1895,Op. 36 No. 4,,,PDF,Brødrene Hals,837,
,K,x,Østvinden,"Grøndahl, Agathe Backer",1847 - 1907,Bernard Severin Ingemann,1789 - 1862,1902,Op. 56 No 2,,,,Haakon Zapffe,970,
,,,Ung Magnus,"Grøndahl, Olaus Andreas",1847 - 1923,Bjørnstjerne Bjørnson,1832- 1910,1873,,,,,Warmuths Musikforlag,89,
,,x,Fleurs D'Automne,"Grøntvedt, Mathias",1867 - 1936,,,1910,,,,,,,
5,,x,Den sidste vals,"Gunnersen, Henrich",1871 - 1939,,,1899,Opus 7,,,,Haakon Zapffe,462,
,,,Honørmarsch,"Haaland, Ingebregt",1878 - 1934,,,1912,To Roald Amundsen,,,,Haakon Zapffe,1081,
3,,,Bondeidyl,"Haarklou, Johannes",1847 - 1925,,,1885,,,,,Carl Warmuth,1000,
,,,Forsvarssang,"Haarklou, Johannes",1847 - 1925,Jacob Breda Bull,1853 - 1930,1898,,,,,Norsk Musikforlag,4147a,
2,,,Med röde Roser,"Haarklou, Johannes",1847 - 1925,Knut Hamsun,1859 - 1952,1905,Op 23 No 1,,,,,,
2,,x,Meget lette klaverstykker,"Haarklou, Johannes",1847 - 1925,,,1907,Op. 26,,,,Oluf By,322,
4,,x,Norske Danse,"Haarklou, Johannes",1847 - 1925,,,1907,Op 31,,,,Oluf By,327,
,,,Olaf den Hellige,"Haarklou, Johannes",1847 - 1925,,,1897,Op. 44,,,,Carl Warmuth,2223,
3,,x,Gondellied,"Haberbier, Ernst ",1813 - 1869,,,1861,"Op. 53, no 2",,,,"Aug. Cranz, Hamburg",,
5,,x,"Paraphrase over ""Sang til Bergen""","Haberbier, Ernst ",1813 - 1869,,,1860,,,,,C. Rabe Bergen,,
5,,x,Sang uden ord,"Haberbier, Ernst ",1813 - 1869,,,1883,Nordisk Musiktidende No 7 1883,,,,,,
2,,x,Exhibition-marches Leipzig 1897,"Hahn, Adam
Rennert, Bruno
Trommer , Andreas Christian","1875 - 1943
1871? - ?
1836 - 1916",,,1897,,,,,,,
3,K,x,Præludium,"Hall, Marie",1845 - 1921,,,1911,,,,,Haakon Zapffe,1031,
,K,,Valse gracieuse,"Hall, Marie",1845 - 1921,,,1907,,,,"Ufullstendig note! (Lånt ""resten"" på NB)",Brødrene Hals,1175,
,K,,Auf einer Wiese,"Hall, Pauline",1890 - 1969,Grisbach,,,,,,,,,
4,K,,Vinteraften,"Hall, Pauline",1890 - 1969,,,,,,,,Wilhelm Hansen,11658,
4,K,,Mindetoner,"Halvorsen, Inger",?,,,,Manuscript,,,,,,
,,x,Bojarenes indtogsmarsj,"Halvorsen, Johan",1864 - 1935,,,1895,Arr. Edvard Grieg,,,,,,
,,x,Danebrogsangen,"Halvorsen, Johan",1864 - 1935,Jacob Breda Bull,1853 - 1930,1901,,,,,,,
,,x,Sangen om Iver Huitfeldt,"Halvorsen, Johan",1864 - 1935,Jacob Breda Bull,1853 - 1930,1901,,,,,Warmuths Musikforlag,2731,
3,,x,Chant de Veslemöy - Veslemøy's sang,"Halvorsen, Johan",1864 - 1935,,,1898,From the suite Mosaiq,,,,,,
2,,,Østerdalsmarschen,"Halvorsen, Johan",1864 - 1935,Ivar Mortensson-Egnund,1857 - 1934,1906,Op. 23,,Østerdølsmarschen,,,,
3,,x,Haneborgs Brude-Marsch,"Haneborg, Anders C.",1838 - 1912,,,1908,,,,PDF,Haakon Zapffe,849,
5,,x,Margaretha Polenaise og Vals,"Haneborg, Anders C.",1838 - 1912,,,1905,,,,PDF,Haakon Zapffe,696,
4,K,x,Barnesang,"Hanneborg, Augusta",1864 - 1952,,,1900,,,,,Carl Warmuth,2462,
,,,Mors-Sange (3),"Hansen Spalder, Fridthjof",1896 - 1985,Jac. Haug + ukjent,,1920/21,,,,,Haakon Zapffe,1174 +78/79,
4,,x,Agathe-Gavotte,"Hansen, Adolf",1852 - 1911,,,1889,Op. 110,,,,Carl Warmuth,1493,
2,,x,Bachfisch Polka,"Hansen, Adolf",1852 - 1911,,,1904,Op. 203,,,,Brødrene Hals,1123,
4,,x,Bellevue-Marsch,"Hansen, Adolf",1852 - 1911,,,1897,,,,Ikke egne noter.,C. Rabe Bergen,,
3,,x,Benny-vals,"Hansen, Adolf",1852 - 1911,,,1905,Opus 211,,,Nasjonalbibliotek,,,
3,,,Damernes Rheinlender,"Hansen, Adolf",1852 - 1911,,,1884,,,,,,,
5,,x,Danse-Album for Börn,"Hansen, Adolf",1852 - 1911,,,1899,Op. 160,,,,Haakon Zapffe,477,
5,,x,Dronning Mauds Polka,"Hansen, Adolf",1852 - 1911,,,1905,Op. 212,,,Ikke egne noter.,Oluf By's Musikforlag,255,
3,,x,Fantasi Française,"Hansen, Adolf",1852 - 1911,,,1884,Op. 61,,,,Petter Håkonsens forlag,291,
4,,x,Fest-Marsch,"Hansen, Adolf",1852 - 1911,,,1882,Op. 46,,,,Petter Håkonsens forlag,68,
5,,x,Festmarsch - Christiania Tivoli,"Hansen, Adolf",1852 - 1911,,,1878,,,,,Carl Warmuth,391,
4,,x,Fra Karl Johan,"Hansen, Adolf",1852 - 1911,,,1884,,,,,Petter Håkonsens forlag,289,
4,,x,Gavotte,"Hansen, Adolf",1852 - 1911,,,1881,Op. 43,,,,Petter Håkonsens forlag,24,
3,,,Kanin-polka,"Hansen, Adolf",1852 - 1911,,,1889?,Op. 93,,,,Revyen,,
4,,x,Kinesisk Marsch,"Hansen, Adolf",1852 - 1911,,,1886,,,,,Carl Warmuth,1119,
3,,x,Kunstner-Galop,"Hansen, Adolf",1852 - 1911,,,1882,Op. 49,,,,Carl Warmuth,821,
,,x,Lilli Gavotte,"Hansen, Adolf",1852 - 1911,,,1895,Op. 172,,,,,,
2,,,Rheinländer I & II,"Hansen, Adolf",1852 - 1911,,,,,,,,,,
3,,x,Souvenir de Paris,"Hansen, Adolf",1852 - 1911,,,1889,,,,,Carl Warmuth,1490,
3,,x,Sørgemarsch,"Hansen, Adolf",1852 - 1911,,,1882,Op. 45,,,,Petter Håkonsen,67,
3,,,Turner-Marsch,"Hansen, Adolf",1852 - 1911,,,1881,,,,,,,
3,,x,Victoria-polka,"Hansen, Adolf",1852 - 1911,,,1881,,,,,Petter Håkonsen,5,
4,,x,86° 14' Marsch,"Hansen, Eyvind",,,,1896,,,,,Haakon Zapffe,315,
,,,Kavallerimarsch,"Hansen, Eyvind",,,,1903,,,,,Oluf By's Musikforlag,114,
,K,x,Impromptu,"Hansen, Hanna Marie",1875 - 1954,,,,Opus 5,,,,,,
,,,Mazurka,"Hansen, Hanna Marie",1875 - 1954,,,,,,,,,,
,K,,Romance,"Hansen, Hanna Marie",1875 - 1954,,,,Op 4 No 1.,,,,Norsk Musikforlag,2961,
3,K,X,Souvenir,"Hansen, Hanna Marie",1875 - 1954,,,1895,Opus 6,,,,Ingen metadata,,
5,,x,Fest-Marsch,"Hansen, Oscar (Hans)",1853 - 1925,,,1881,,,,,Carl Warmuth,757,
5,,x,Paraphrase over Ingrids vise,"Hasert, Rudolf",1826 - 1877,,,1863,Published by Warmuth 1879,,,,Carl Warmuth,518,
4,,x,Mens jeg lever,"Hartelius, Niels Peter",1869 - 1943,"Næstved, Ingeborg",1887 - 1979,1920,,,,,Hjemmet,,
4,,x,"Du gamle, du friska","Hartmann, Emil",1836 - 1898,,,1886,"Postillionen, No 3",,,,,,
,,,Det syng fyr Storegut,"Haslerud, Christian",1834 - 1921,"Vinje, Aasmund Olavsson",1818 - 1870,1906,,,,,Oluf By,293,
3,,x,Ingrids vise,"Haslerud, Christian",1834 - 1921,"Bjørnson, Bjørnstjerne",1832 - 1910,1890,Nordisk Musiktidende - No 7 1890,,,,,,
,,,Along with my Darling,"Haslund, Erling",1880 - 1940,,,1902,,,,,Haakon Zapffe,494,
,,,Orreleg i Skogen,"Haslund, Erling",1880 - 1940,Theodor Caspari,1853 - 1948,,,,,,,,
3,,x,Titania,"Haslund, Erling",1880 - 1940,Gustaf Fröding,1860 - 1911,1910,,,,,Norsk Musikforlag,2941,
,K,,"Elskte, jeg drömte","Heber, Judith",1880 - 1919,Halfdan Christensen,1873 - 1950,1911,Op. 1 No 4,,,,Norsk Musikforlag,4285,
,K,x,Guldregn,"Heber, Judith",1880 - 1919,Olaf Schou,1861 - 1925,1911,Op. 1 No 1,,,,Norsk Musikforlag,4287,
,K,x,Silkesko over gylden læst,"Heber, Judith",1880 - 1919,Jens Peter Jacobsen,1847 - 1885,1911,Op. 1 No 3,,,,Norsk Musikforlag,4286,
5,K,x,Solblind,"Heber, Judith",1880 - 1919,Olaf Schou,1861 - 1925,1911,Op. 1 No 2,,,,Einar Kaland,6,
,,,En drøm,"Hedenskou, Leif",1904 - 1994,,,1920,Op. 1,,,,Oluf By,1645,
4,K,x,Et Minde,"Heftye, Marie",1869 - 1931,,,1904,,,,NB,Brødrene Hals,1117,
,K,x,Vinterdagens Scherzo,"Heiberg, Susanna",1848 - 1905,Theodor Caspari,1853 - 1948,1902,,,,,Carl Warmuths eftf.,2581,
,,,Det syng fyr Storegut,"Heide, Harald",1876 - 1956,"Vinje, Aasmund Olavsson",1818 - 1870,1898,,,,,Einar Kaland,5,
4,,,Musik,"Heide, Harald",1876 - 1956,Vilhelm Krag,1871 - 1933,1899,,,,,Einar Kaland,8,
,,,Vaar (Til en ung Pige),"Heide, Harald",1876 - 1956,Jacob Breda Bull,1853 - 1930,,,,,,,,
3,,x,Goldfischen,"Heins, Carl",1859 - 1923,,,1895,Opus 158,,,PDF,"Heinrichshofen, Magdeburg",3544,
3,,x,Zwei blauen Augen,"Heins, Carl",1859 - 1923,,,1897,Opus 212,,,,Abraham Lundquist (1901),1970,
3,,x,Solveigs sang,"Heise, Peter Arnold",1839 - 1879,"Ibsen, Henrik",1828 - 1906,1870,,,,,,,
,K,x,Fevrelden i hagjen,"Heitmann, Daisy",1887 - 1941,Hans E. Kinck,1865 - 1926,1916,,,,,J.W. Cappelen,,
3,K,x,Honeymoon,"Heitmann, Daisy",1887 - 1941,(Charles) Frederic Dalmon,1872 - 1917,1921,,,,,,,
,K,,Sang uden ord,"Heitmann, Daisy",1887 - 1941,,,1908,,,,,,,
4,K,x,Tre sanger,"Helgeby Røberg, Kari",1864 - 1922,"Helgeby Røberg, Kari",1864 - 1922,1911,,,,,Haakon Zapffe,1062/64,
5,K,x,Wiegenlied,"Hellgren, Hanna",1852 - 1891,"Geruss, Rudolf",,1885,Nordisk Musiktidende  No 11 - 1885,,,,Carl Warmuth,,
3,,x,Speidergutternes Marsch,"Henriksen, Gustav",1872 - 1954,,,1910,,,,,Oluf By's Musikforlag,1249,
4,,x,Sökadet-polonaise,"Henriksen, Gustav",1872 - 1954,,,1898,,,,,Norsk Musikforlag,2275,
2,,x,Vaarsol,"Henriksen, Gustav",1872 - 1954,,,1898,,,,,Carl Warmuth,2331,
,,x,1905-Marsch,"Henriksen, Haakon",1875 - 1948,,,1905,,,,,,,
,,,Hærskrig,"Henriksen, Herman",,,,1903,,,,,"Ragnhild Lange, Trondhjem",,
4,,x,Feuille d'Album,"Henselt, Adolf",1814 - 1889,,,1883,,,,,Carl Warmuth,867,
4,,x,Romance,"Henselt, Adolf",1814 - 1889,,,1847,Opus 18 № 1.,,,,,,
4,,Privat,Barcarole,"Heradstveit, Baard",1887 - 1969,"Heradstveit, Baard ?",,ca 1922,"""..også utkommet for mandskor""",,,,Heradstveit forlag,,
,,Privat,Serenade,"Heradstveit, Baard",1887 - 1969,,,<1930,,,,,,,
,,,Hoch Heidecksburg,"Herzer, Rudolf",,,,1912,(Ikke ferdignotert!),,,,,,
,,,As long as I'm dreaming,"Heusen, James van",1913 - 1990,Johnny Bruke,,,,,,,,,
4,,x,Emilie-gallop,"Heyerdahl, Anders",1832 - 1918,,,1868,,,,,Carl Warmuth,,
,,,Huldretoner,"Heyerdahl, Anders",1832 - 1918,,,1911,,,,Noten er uten forlegger informasjon.,Oluf By's Musikforlag,,
4,,x,Norsk Revelje og Tappenstreg,"Heyerdahl, Anders",1832 - 1918,,,1905,,,,Ikke egne noter.,Oluf By's Musikforlag,359,
5,,x,Sköitefart,"Heyerdahl, Anders",1832 - 1918,,,1878,,,,,Ole Olsen,2,
4,K,x,Der staar en sorg,"Heyerdahl, Vally",1859 - 1920,Vilhelm Krag,1871 - 1933,1913,,,,,Norsk Musikforlag,4473,
5,,x,Vossevangen,"Hillebrandt, Nils Peter",1815 - 1885,"Hauch, Carsten",1790 - 1872,1876,Lyrics from 1861,,,,Wilhelm Hansen,,
3,,x,"Ja, vi elsker","Hoff, Erik",1830 - 1894,"Bjørnson, Bjørnstjerne",,1868,,,,,Sangbok/Kristiasand,,
