Unnamed: 0,Unnamed: 1,Musescore,Melodi,Komponist,Levde når,Lyrikk,Levde når.1,Når komponert,Sanginfo,Dubletter,Unnamed: 11,Unnamed: 12,Unnamed: 13
5,,x,Jazzin' the Cotton Town Blues,"Olsen, Harry B.",1878 - ?,"Lewis,  Roger",1885 - 1948,1917,,,,IMSLP,
4,,x,Julio,"Olsen, Harry B.",1878 - ?,"Luz, Ernst",1878 - 1937,1921,The four Horsemen of the acopalypse,,,IMSLP,
3,,x,Oh! Min!,"Johnes, Isham",1894 - 1956,"Olsen, Ole (John Sigvart)",1892 - 1963,1918,,,,,
2,,x,That's Jaz,"Johnes, Isham",1894 - 1956,"Olsen, Ole (John Sigvart)",1892 - 1963,1917,,,,,
3,,x,Norway,"Fisher, Fred",1875 - 1942,"McCarthy, Joseph",1885 - 1943,1915,,,,Einar Økland/IMSLP,
3,,x,In Norway ,"Morse, Theodore",1873 - 1924,,,1907,,,,Einar Økland,
,,,Central Skating Park Polka,"Wamelink, Joannes Th.",1827 - 1900,,,1865,,,,Net ,
,,x,Yes Sir! Til Tennesse,"Abner Silver 
Harry Woods ","1899 -1966
1900 - 1955",,,1923,,,,Ernst Rolf,360.0
,,,Cilleros,"Casadelle, Damasco",,,,1926,,,,Musikcentralens Forlag,152.0
,,x,Lille Peter Edderkop,"O'Brien, Spike",,,,1948,,,,Wilhelm Hansen,26588.0
,,x,Picador,"Nichols, Horatio",1888 - 1964,,,1926,Pseudonym for Lawrence Wright,,,,
4,,x,Lord Palmerstone,"Syv, Per",,,,1922,Reklame for sigaretter,,,,
,,unlisted!,Sailing Home,"Burnett, Ernie",1884 - 1959,"Collins Jr, Treve",1892 - 1939,1917,,,,,
