Unnamed: 0,Melodi,Komponist,Levde når,Lyrikk,Levde når.1,Når komponert,Diverse,Diverse.1,Dublett?,Forlag,Nr.,Unnamed: 12
,Det kommer rosor,"Austin Egen
Franz Doelle","1897 - 1941
1883 - 1965",S. S. Wilson (Anita Halldén),1878 - 1970,1927,,,,Ernst Rolf,1717,
,Flying Saucer,"Axis, John (Aas, Ernst)",,,,,"""Hilsen kopmponisten"", Ernst.",,,,,
,Lille Angi,"Bakken, Arnt Svendsen",1882 - 1966,"Bakken, Arnt Svendsen",1882 - 1966,1933,,,,Musikcentralen,,
,Glem meg,"Bauer-Nilsen, Trygve",1895 - 1960,UNO,,1944,,,,A/S Musikk's Forlag Haugesund,,
,Godnatt,"Bauer-Nilsen, Trygve",1895 - 1960,Sander,,,,,,,,
,Høstløv,"Bauer-Nilsen, Trygve",1895 - 1960,Sander,,1945,,,,,,
,Lykkedrømme,"Bauer-Nilsen, Trygve",1895 - 1960,UNO,,1942,,,,A/S Musikk's Forlag Haugesund,,
x,Sigøiner romanse,"Bauer-Nilsen, Trygve",1895 - 1960,UNO,,,Omtale,,,,,
,Hvor,"Bendiksen, Arne",1926 - 2009,,,,,,,,,
,Byen sover,"Berg, Andreas",,"Hansen, Juul",1913 - 1981,1941,,,,Carl M. Iversen,127,
,Lille Ann-Mari,"Berg, Andreas",,Egil Hagen,1912 - 2004,1955,,,,Harld Lyche,,
,Dovregubbens lørdagskveld,"Berg, Trygve",? - 1956?,,,194x,Mangler et noteark,,,Germania,1,
,Katalonia,"Berg, Trygve",? - 1956?,,,,,,,,,
,Kom og bli med ned til Hankø,"Berg, Trygve",? - 1956?,Bias Bernhoft,1902 - 1986,1933,,,,Carl M. Iversen,,
,Vals elegant,"Berg, Trygve",? - 1956?,,,1945,"Publisert av ""Edition Luvån""",,2,Hermani,149,
,Brevet fra deg,"Bergh, Sverre (Frode Ring)",1915 - 1980,"Eidem, Odd (Frode Ring)",1913 - 1988,,Moss Dagblad 20 januar 1968,,,,,
,En rosedrøm,"Bergh, Sverre",1915 - 1980,Andreas Aabel,1911 - 1948,1944,,,,,,
,"Tyven, tyven","Bergh, Sverre",1915 - 1980,,,,,,,,,
,Vuggende valsetakt,"Bergh, Sverre",1915 - 1980,,,1944,Mangler side 3 og 4!,,,Norsk Musikforlag,7602,
,"Måke, fortell","Bergstrøm, Harry",1910 - 1989,"Jakob Hjelte (Hansen, Juul)",1913 - 1981,1954?,,,,Carl M. Iversen,,
,Kanske engang tilbake du kommer,"Bernhard, Willy",1903 - 1976 ?,Herbert Herding-Herberth,1904 - 1958,1929,,,,Norsk Musikforlag,6530,
,Idealflickan,"Berntsson, Hugo",1898 - 1978,,,1951,,,,Kåre Korneliussens forlag,41,
,Nå venter vi på det,"Bias Bernhoft
Arne Feldborg","1902 - 1986
1912 - 1987","Bias Bernhoft
Arne Feldborg","1902 - 1986
1912 - 1987",1943,"Fra revyen ""Smilet går videre""",,,,,
,Narrevise,"Berulfsen, Bjarne",1906 - 1970,"Kristensen, Tom",1893 - 1974,1948,Tom Kristensen var en dansk forfatter,,,Norks Musikforlag,7839,
,Kalle Båtsmann fra Lillesand,"Bjelland Juuhl, Harald",1913 - 1992,"Hansen, Juul",1913 - 1981,1961,,,,Carl M. Iversen,,
,Vårblomsten til mor,"Bjelland Juuhl, Harald",1913 - 1992,"Bjelland Juuhl, Harald",1913 - 1992,1960,"""Omtale""",,,"Harald Lyche, Drammen",,
,Rytmefantasi,"Bjørklund, Odd Ursin",1925 – 2014,,,1944,,,2,,,
,Civilization,Bob Hillard & Carl Sigman,,"Hansen, Juul",1913 - 1981,1947,Civilization,,,,,
,Det blir sommar och sol ...,"Bode, Johnny",1912 - 1983,Hans Ekman,1915 - 2004,1934,,,,Ahlins musikførlag,26,
,Go - on,"Borg, Helge",1894 - 1965,,,1918,(Oscar Borgs sønn),,,Eget forlag,4,
,Karneval,"Borg, Helge",1894 - 1965,,,1920,,,,Norsk Musikforlag,4922,
,Dreamery,"Borg, Helge",1894 - 1965,,,,(Oscar Borgs sønn),,,,,
,Den siste valsen,"Borg, Victor",1916 - 1996,"Borg, Victor",1916 - 1996,1943,,,,,,
,Askim-sangen,"Borgesen, Erling",1909 - 1987,"Thømt, Josva",1891 - 1971,1939,Først fremført 1941?,,,,,
,I vinden,"Braarvig, Hans (""James"")",1905 - 1986,Herman Wildenwey,1885 - 1959,1929,1 premie Jazzmusikk-konkurransen 1929,,,,,
,En lille skatt,"Brink,  Edvard",1883 - 1970,Alfred Kjerulf,1882 - 1938,,,,,,,
x,Kanske danser Frøken Carlson lite Charleston,"Brink,  Edvard",1883 - 1970,Alfred Kjerulf,1882 - 1938,1927,,,,,,
,Stompen min,"Bruun-Lie, Per",1914 - 1977,Per Kvist,1890 - 1947,1944,,,,Norsk Musikforlag,7298,
