Unnamed: 0,Melodi,Komponist,Levde når,Lyrikk,Levde når.1,Når komponert,Diverse,Diverse.1,Dublett?,Forlag,Nr.,Unnamed: 12
,Viddens sang,"Guldbranson, Eilif",1897 - 1958,Sigurd Skaun,1894 -  1979,1943,Fra filmen Vigdis,,,,,
,Tater Maria,"Gulliksen, Gård",1904 - 1987,Gård Gulliksen,1904 - 1987,1941,,,,Musikk-huset,325,
,De gamle melodier,"Gulliksen, Gård",1904 - 1987,Tola (Torleif Larssen),1899 - 1967,1945,,,,Norsk Musikforlag,7618,
,Her er din sang,"Gulliksen, Gård",1904 - 1987,Gård Gulliksen,1904 - 1987,1943,,,,,,
x,Kärleken blir större för varje dag,"Gullmar, Kai (Gurli Maria Bergström)",1905 - 1982,Karl-Ewert Christenson,1888 - 1965,1945,Fra filmen Sussie,,,,,
,Med dig i mine armer,"Gullmar, Kai (Gurli Maria Bergström)",1905 - 1982,"Hansen, Juul",1913 - 1981,1940,"Fra filmen ""Med dig i mine armer""",,,,,
,Min lykkestjerne,Gunard-Larsen (Danmark),1891 - ?,Lilleklaus (Thorleif Arne Klausen),1882 - 1934,1920,"Fra revyen ""Paa'n igjen"" 1920",,,Kjell Koren & Co,19,
,Den vackraste visan,"Gundersen, Jens",1912 - 1965,"Nerman, Ture",1886 - 1969,1949,,,,Norsk Musikforlag,7844,
,Vuggevise,"Gundersen, Jens",1912 - 1965,"Gundersen, Jens",1912 - 1965,1948-49,,,,Norsk Musikforlag,7778,
,Når vår og sommer kommer,"Gundersen, Normann",1901 - 1977,"Hansen, Sverre",,1937,Omtale,,,Eget forlag,,
,Söderhavets pärla,"Elmer, Gustav
Westling, Ragnar","1897 - 1959
1899 - 1973",Toivo Ek,1897 - 1964,1956,Ragnar Westling,,,,,
,"Else, min blonde veninne","Gyldmark, Sven",1904 – 1981,"Hansen, Juul",1913 -1981,1945,,,,Carl M. Iversen,194,
,Gulaschbaronen,"Gylling, Erik",1894 - 1954,,,1932,,,,Hagstrøm A/S Oslo,,
,Jeg skal ta morfar med meg ut ikvell,Gösta Westerberg & Eric Sandström,,Herbert Herding-Herberth,1904 - 1958,1949,,,,,,
,En norsk sjømann,"Hadland, Ole",1914 - 1994,"Torssen, Laurits",1901 - 1982,1936,,,,Bartnes Forlag,19,
,Ikke alt er tatt av vinden,"Hagen, Egil",1912 - 2004,"Hagen, Egil",1912 - 2004,1943,,,,,,
,Hvad kigger du paa?,"Hall, Gunnar",,"Anker, Paul",1891 - 1981,1929,,,,Jac. Boesens Musikforlag,129,
,Til kongen,"Hall, Pauline",1890 - 1969,Arnulf Øverland,1889 - 1968,,,,,,,
,Drømmen om tjernet det blå,"Halvorsen, S.",,"Albe, Otto",1903 - 1978,1945,,,,Norsk Musikforlag,6705,
,"Hun var bitte, bitte liten","Halvorsen, Sigurd",,"Hansen, Juul",1913 - 1981,1942,,,,Carl M. Iversen,174,
,Mot lykken jeg går,"Halvorsen, Sigurd",,"Hansen, Juul",1913 - 1981,1945,,,,Carl M. Iversen,203,
,Våren i Kristiania,Hannes Ruch,1867 - 1928,Vilhelm Dybwad,1863 - 1950,,,,,,,
,Jørgensens amerikanske hvetebrød,"Hansen, Adolf",1852 - 1911,Henrik Jansen,1877 - 1923,,,,,,,
,Ranco Marsj,"Hansen, Alf",ca 1900 - 1973?,,,ca 1932,,,,,,
,Den nye lokker'n,"Hansen, Erling",,"Hansen, Juul",1913 - 1981,1947,,,,Oscar Skau,287,
,Russemarsch,"Hanssen, Johannes",1874 - 1967,,,1921,,,,Oluf By,1651,
,En aften i Paris,"Hansten, Einar",1909 - 1998,"Hansen, Juul",1913 - 1981,1942,,,,Coda Musikforlag,,
,Jeg sender deg en tanke,"Hansten, Einar",1909 - 1998,Per Kvist,1890 - 1947,1942?,,,,Coda Musikforlag,,
,Sami,"Hansten, Einar",1909 - 1998,"Hansen, Juul",1913 - 1981,1927,,,,Coda Musikforlag,5476,
,Nattens tango,"Harr, Carsten",1907 - 1998,"Harr, Carsten",1907 - 1998,1932,Forside tegnet av Carsten Harr selv.,,,Eget forlag,,
,Vi skall segla livet samman,"Harrison, Walter",,Gösta Stevens,1897 - 1964,1929,"""1 præmie Lailakonkurrancen 1929""",,,,,
,Vestkunstens vals,Harry Blomquist,,,,1931,3dje premie slagerkonkurransen 1931,,,,,
,Speiderhilsen,"Harstad, Hans",1902 - 1985,,,1927,,,,Eget forlag,,
,Det kunne vært deg,"Hartmann, Christian",1910 - 1985,Karl Ludvig Bugge,1915 - 1987,1952,"Fra filmen ""Det kunne vært deg""",,,Musikk-huset,1194,
,En liten fransk souper,"Hartmann, Christian",1910 - 1985,Titus Vibe Muller (& C. Hartmann),1912 - 1986,1943,,,,,,
,En sommerkveld på fjorden,"Hartmann, Christian",1910 - 1985,"Carlmar, Otto",1902 - 1987,1930,,,,Skandinavisk Schlagerforlag,115,
,Et sommereventyr,"Hartmann, Christian",1910 - 1985,"Torleif Larssen (""Tola"")",1899 - 1967,,,,,Norsk Musikforlag,6920,
,Lillegutt,"Hartmann, Christian",1910 - 1985,Christian Hartmann,1910 - 1985,,,,,Norsk Musikforlag,7273,
,Lyttervalsen,"Hartmann, Christian",1910 - 1985,Arne Svendsen,1884 - 1958,1933,"1 premie ""Lytterkonkurranse"" 1933",,,,,
,Masta,"Hartmann, Christian",1910 - 1985,"Carlmar, Otto",1902 - 1987,,Tobakk-reklame,,,,,
,Min lille sommervenn,"Hartmann, Christian",1910 - 1985,"Carlmar, Otto",1902 - 1987,1931,,,,Norsk Musikforlag,6593,
,Monte Carlo,"Hartmann, Christian",1910 - 1985,"Carlmar, Otto",1902 - 1987,1930,,,,Skandinavisk Schlagerforlag,108,
,Når man er litt lykkelig,"Hartmann, Christian",1910 - 1985,Inge Schee,,1946,"Fra filmen ""Et spøkelse forelsker seg""",,,,,
,Ved et lite bål ned'på stranden,"Hartmann, Christian",1910 - 1985,Christian Hartmann,1910 - 1985,1932,Omtale,,,,,
,Røde Roser,"Haschler, Karl",1879 - 1941,"Torleif Larssen (""Tola"")",1899 - 1967,,"Fra filmen ""Der Wildfang""",,,"Coda Musikkforlag, Drøbak",,
,Mammon-ra,"Haugen, Harald Bernhard",1905 - 1982,,,1931,Tekst fra Studentrevyen 1931,,,Duo Forlag,1,
,D'r utrulig hvad det  går an å servere!,"Haugen, Harald Bernhard",1905 - 1983,S. G.,,,,,,Eget forlag,,
,Dillan,"Haugen, Harald Bernhard",1905 - 1983,Henki Kolstad,1915 - 2008,1941,"Fra teaterstykket ""Lykken banker på""",,,,,
,Du er kvinne,"Haugen, Harald Bernhard",1905 - 1982,Rodja Nihiloff,,1929,,,,,,
,Munkholm,"Haugen, Harald Bernhard",1905 - 1982,Rodja Nihiloff,,,Margarin-reklame,,,,,
,Sangen til dig,"Haugen, Harald Bernhard",1905 - 1982,Harald Hope,1913 - 1982,1933,,,,"A/S Musikkhuset, Haugesund",,
,Sangen til mor,"Haugen, Harald Bernhard",1905 - 1982,Harald Hope,1913 - 1982,,,,,,,
,Vårt hus,"Haugen, Harald Bernhard",1905 - 1982,Harald Hope,1913 - 1982,,Sogneprest?,,,"A/S Musikkhuset, Haugesund",,
,8. Mai,"Hauger, Kristian",1905 - 1977,,,1945,,,,,,
,Bli hos mig,"Hauger, Kristian",1905 - 1977,Alf Rød,1894 - 1969,,,,,,,
,Blåklokker,"Hauger, Kristian",1905 - 1977,Herbert Herding-Herberth,1904 - 1958,1929,,,2,,,
,Champagne,"Hauger, Kristian",1905 - 1977,"Kvist, Per",1890 - 1947,1935,,,,Bartnes forlag,15,
,Charleson i Grukkedalen,"Hauger, Kristian",1905 - 1977,Carl Kaas,,1927,2 pr. Jazzkonkurranse 1927,,,,,
,Den lille bueskytter,"Hauger, Kristian",1905 - 1977,"Bø, Finn",1893 - 1962,1942,"Fra filmen ""En herre med bart""",,4,,,
,Den vil jeg nynne for deg,"Hauger, Kristian",1905 - 1977,Gunnar Holm,,,,,3(forskjellig utgaver),,,
,En herre med bart,"Hauger, Kristian",1905 - 1977,"Bø, Finn",1893 - 1962,1942,"Fra filmen ""En herre med bart""",,,,,
,En Oslodag,"Hauger, Kristian",1905 - 1977,"Kvist, Per",1890 - 1947,1936,,,,Norsk Musikforlag,6932,
,Eventyr,"Hauger, Kristian",1905 - 1977,Rolf Hiorth Schøyen,1887 - 1932,1930,,,,,,
,Far og Trine,"Hauger, Kristian",1905 - 1977,"Bø, Finn",1893 - 1962,1942,"Fra filmen ""En herre med bart""",,,,,
,Godnatt,"Hauger, Kristian",1905 - 1977,Arild Feldborg,1912 - 1987,1937,,,,,,
,Gudskjelov-kvelden,"Hauger, Kristian",1905 - 1977,Dorian Red (Arne Paasche Aasen),1901 - 1978,1949,,,,,,
,Hankø-valsen,"Hauger, Kristian",1905 - 1977,Gunnar Kristoffersen,,1933,"Fra revyen ""Kunsten å leve""",,,,,
,I den lille lysegrønne prammen,"Hauger, Kristian",1905 - 1977,Karl Ludvig Bugge,1915 - 1987,1942,,,,,,
,Karl-Johan,"Hauger, Kristian",1905 - 1977,Henry Gleditsch,1902 - 1942,1950,,,,Musikk-huset,260,
,Lillemor er sovnet inn,"Hauger, Kristian",1905 - 1977,Gunnar Holm,,,,,,Norsk Notestik og Forlag,1955,
,Lykkens serenade,"Hauger, Kristian",1905 - 1977,Gunnar Holm,,1941,,,,Musikkhuset A/S,933,
,Når kastanjene blomster i Bygdø Allé,"Hauger, Kristian",1905 - 1977,"Kaspersen, Gunnar",1907 - 1991,1950,,,,Norsk Musikforlag,4288,
,Prins Haralds honnørmarsj,"Hauger, Kristian",1905 - 1977,,,1945,"Fra filmen ""Den forsunne pølsemaker""",,,Musikkhuset A/S,328,
,Pølsemaker - Pølsemaker,"Hauger, Kristian",1905 - 1977,Per Kvist,1890 - 1947,1928,,,,,,
,På musejakt,"Hauger, Kristian",1905 - 1977,,,,,,,Musikk-huset A/S Oslo,1073,
,Sangen vil følge deg,"Hauger, Kristian",1905 - 1977,"Kaspersen, Gunnar",1907 - 1991,1951,,,,Norsk Notestik og Forlag,,
,Si nei om du kan,"Hauger, Kristian",1905 - 1977,Elsa Wenner Bøe (g. Vedeler),1910 - 1967,,"Fra filmen ""En herre med bart""",,,Carl M. Iversen,169,
,Skjebnetimen,"Hauger, Kristian",1905 - 1977,"Bø, Finn",1893 - 1962,1942,,,,Norsk musikforlag,,
,Sommer og sol,"Hauger, Kristian",1905 - 1977,Alf Rød,1894 - 1969,1932,,,,Norsk musikforlag,6556,
,Steinbrytersangen,"Hauger, Kristian",1905 - 1977,Herbert Herding-Herberth,1904 - 1958,1931,,,,Norsk Musikforlag,6586,
,Tilbake til valsen,"Hauger, Kristian",1905 - 1977,,,1931,,,,Musikkhuset,350,
,To og to er tre,"Hauger, Kristian",1905 - 1977,Per Kvist,1890 - 1947,1943,To sanger.,,,Norsk musikforlag,6858,
,Tror du?,"Hauger, Kristian",1905 - 1977,Herbert Herding-Herberth,1904 - 1958,1931,"Fra revyen ""Kunsten å leve""",,,,,
,Vi gjør Adams parole til vår,"Hauger, Kristian",1905 - 1977,Karl Ludvig Bugge,1915 - 1987,1942,,,,Musikk-huset,1494,
x,Vær vår gjest,"Hauger, Kristian",1905 - 1977,Trygve Fjeld,,1956,,,,,,
,Lailas Kjærlighetssang,"Hauger, Kristian, Fred Bjønner (Lars Minsaas), Einar Ellgen",,Rolf Hjort Schøyen,1887 - 1932,1929,,,,,,
,Hvorfor,"Hausken, Arne",1895 - 1963,Arne Hausken,1895 - 1963,,,,,Carl M. Iversen,155,
,Alle roser visner,"Heide-Jacobsen, Gunnar",1910 - 1985 ?,"Hansen, Juul",1913 - 1981,ca 1942,,,,Abraham Lundquist,4083,
,Fiskar-vals från Bohuslän,"Hellström, David",1883 - 1965,"Svenning, Göran",1870 - 1953,1906,,,,Abraham Lundquist,4312,
,Bohuslänska Sjömansvalsen,"Hellström, David",1883 - 1965,"Svenning, Göran",1870 - 1953,1910,,,,Abraham Lundquist,4431,
,Ny Fiskar-Vals,"Hellström, David",1883 - 1965,"Svenning, Göran",1870 - 1953,1913,(Publisert 1913) Omtale,,,"Abraham Lundquist, Stockholm",4536,
,Koster-valsen,"Hellström, David",1883 - 1965,"Svenning, Göran",1870 - 1953,1907,Bevärings-vals från Backamo,,,,,
,Bevärings-vals från Backamo,"Hellström, David",1883 - 1965,"Svenning, Göran",1870 - 1953,1912,,,,"Bohuslänska Förlaget, Strömstad",,
,Bröllops-Valsen,"Hellström, David",1883 - 1965,"Svenning, Göran",1870 - 1953,1914,,,,,,
,Friare-valsen,"Hellström, David",1883 - 1965," Svenning, Göran",1870 - 1953,1909,,,,,,
,Hjärterö-valsen,"Hellström, David",1883 - 1965,"Svenning, Göran",1870 - 1953,,,,,,,
,På Koster,"Hellström, David",1883 - 1965,"Svenning, Göran",1870 - 1953,1932-33,,,,,,
,Styrsö-valsen,"Hellström, David",1883 - 1965,"Svenning, Göran",1870 - 1953,1916,,,,,,
,Det ena du vill men det andra du skall,"Helmer, Arthur",,"Carlberg, Berndt (Berco)",1892 - 1976,1929,,,,Musikcentrums förlag,48,
x,Den vesle fiskerpiken,"Henderlein, Hans (Lotar Olias)",1913 - 1990,"Jakob Hjelte (Hansen, Juul)",1913 - 1981,1955,,,,,,
,Mousmé Jolie,Henri Christiné,1867 - 1941,,,1914,,,,,,
,Ved fjorden,"Henschien, Harald",1902 - 1968,Leif Berg,,,,,,Edition Hermani,101,
,Kirkeklokken,"Hermani, Hermann",1898 - 1960,Hermann Hermani,1898 - 1960,1942,,,,"H. Bardings Musikförlag, Stockholm",318,
,Til min gitar,"Hermani, Hermann",1898 - 1960,Hermann Hermani,1898 - 1960,1944,,,,Victoria musikforlag,967,
,Et sted ved Oslofjord,"Hermani, Hermann",1898 - 1960,Hermann Hermani,1898 - 1960,1941,,,,,,
,Den første vals,"Hermani, Hermann",1898 - 1960,Hermann Hermani,1898 - 1960,,,,,,,
,Den gamle gyngestol,"Hermani, Hermann",1898 - 1960,Hermann Hermani,1898 - 1960,,,,,Carl M. Iversen,,
,Den gamle syrin,"Hermani, Hermann",1898 - 1960,Hermann Hermani,1898 - 1960,1936,,,,,,
,Den gamles sang,"Hermani, Hermann",1898 - 1960,Hermann Hermani,1898 - 1960,,Arr: Trygve Berg,,,Viktoria Musikforlag,965,
,Den lille hestehov,"Hermani, Hermann",1898 - 1960,Hermann Hermani,1898 - 1960,1941,,,,,,
,Det er natt over byen,"Hermani, Hermann",1898 - 1960,Hermann Hermani,1898 - 1960,1942,,,,,,
,Det lakker og li'r mot kveld,"Hermani, Hermann",1898 - 1960,Hermann Hermani,1898 - 1960,,,,,,,
,En dans med tresko på,"Hermani, Hermann",1898 - 1960,Hermann Hermani,1898 - 1960,,,,6,(En svensk utgave),,
x,En liten blåveis,"Hermani, Hermann",1898 - 1960,Hermann Hermani,1898 - 1960,1938,,,,,,
,Et minne om mor,"Hermani, Hermann",1898 - 1960,Hermann Hermani,1898 - 1960,1946,,,2,,,
,Hans og Grete,"Hermani, Hermann",1898 - 1960,Hermann Hermani,1898 - 1960,1936,,,4,,,
,Jeg skal komme til dig,"Hermani, Hermann",1898 - 1960,Hermann Hermani,1898 - 1960,1940,,,,,,
,Juledans,"Hermani, Hermann",1898 - 1960,Hermann Hermani,1898 - 1960,,,,,,,
,Kan du se at våren kommer,"Hermani, Hermann",1898 - 1960,Hermann Hermani,1898 - 1960,1942,,,,Victoria forlag,,
x,Lykkestjernen,"Hermani, Hermann",1898 - 1960,Hermann Hermani,1898 - 1960,1941,Omtale,,,Åge Thoen & Co,,
,Månen skal følge mig hjem,"Hermani, Hermann",1898 - 1960,Solveig Lindstad,,1946,Arr. Sverre Bergh,,,Edition Hermani,195,
,Nordlandssangen,"Hermani, Hermann",1898 - 1960,"Hermani, Hermann",1898 - 1960,1943,,,,,,
,Nyttårsklokken,"Hermani, Hermann",1898 - 1960,Hermann Hermani,1898 - 1960,,,,,,,
,Når heggen blomstrer,"Hermani, Hermann",1898 - 1960,Hermann Hermani,1898 - 1960,,,,,,,
,Sjømannseventyr,"Hermani, Hermann",1898 - 1960,Hermann Hermani,1898 - 1960,1948,,,,Bartnes forlag,,
,Sommer og sol,"Hermani, Hermann",1898 - 1960,Hermann Hermani,1898 - 1960,1937,,,,,,
,Sommertrallen,"Hermani, Hermann",1898 - 1960,Hermann Hermani,1898 - 1960,1942,,,,,,
,Tror du på lykkelige dage,"Hermani, Hermann",1898 - 1960,Hermann Hermani,1898 - 1960,1940,,,,Presto forlag,,
,Vinterkveld,"Hermani, Hermann",1898 - 1960,Hermann Hermani,1898 - 1960,,,,,,,
,Vårens melodi,"Hermani, Hermann",1898 - 1960,Hermann Hermani,1898 - 1960,,,,,,,
,Kom Norges ungdom,"Hermani, Johanne",1897 - 1974,Hermann Hermani,1898 - 1960,1945,,,3,Edition Hermani,,
,Lille Malou,"Hermani, Johanne",1897 - 1974,Hermann Hermani,1898 - 1960,,,,,,,
,Kveldsolens sang,"Hermani, Kate og Dick",,Hermann Hermani,1898 - 1960,,Omtale,,,Norks Musikforlag,6902,
,Den gamle spinnerokk,"Hill, Billy",1899 - 1940,"Torleif Larssen (""Tola"")",1899 - 1967,1933,,,,Ernst Rolf,273,
,Resan till lilleputt,"Hollænder, Friedrich",1896 - 1976,S. S. Wilson (Anita Halldén),1878 - 1970,1923?,Arr. Bjarne Amdahl,,2,,,
,"Ja, Sånn ja.","Holt, Einar",1898 - 1977,"Holt, Einar",1898 - 1977,1943,,,,,,
,Du er Solen i min lille Verden,"Hoyer, Bjarne",1912 - 1991,Erik Leth,1923 - 2000,1946,,,,,,
,Hallandspolka,Hugo Berntsson,1898 - 1978,,,,,,,"Reuter & Reuter, Stockholm",,
,Svenske Holger,"Hylin, Einar",1902 - 1975,"Westling, Ejnar",1896 - 1961,1938,,,,Edition Hermani,212,
,Onkel Andreas,"Händler, Harry",1915 - ?,Rolf Nilsen,1913 - ?,,,,3,,,
,"Lytter du til mig ikveld, kjære mor?","Igor Borganoff (Fred Winter, Sten Njurling)",1892 - 1945,Herbert Herding-Herberth,1904 - 1958,1927,,,,Norsk Musikkforlag,6295,
,Hyldest til Norge,"Ihlen Nistad, Hans",1903 - 1983,Kaj Munk,1898 . 1944,1945,,,,Norsk Musikkforlag,7657,
,Unge hjerter,"Ingemann (Maaseide), Oscar",1901 - 1974,"Rosenlind, Olaf",1908 - 1990,1936,"1 premie Bartnes: ""Sommerens melodier""",,,Bartnes forlag,17,
,Til kongen,"Irgens Jensen, Ludvig",1894 - 1969,Arnulf Øverland,1889 - 1968,1945,Omtale (Komponert ca 1933?),,,Norsk Musikkforlag,7487,
,Det lysnet i skogen,"Islandsmoen, Sigurd",1881 - 1964,Jørgen Moe,1813 - 1882,1945,,,,,,
,Jeg venter på deg,J. N. Wallem & Carl C. Bøyesen,,Arne Bendiksen,1926 - 2009,1956,,,,,,
,To brune øine,Jean Lacome (Sven Gyldmark),1904 - 1981,Carl Kaas,,1942,,,,Svenska Noter,44,
,Drömmarnas ö,"Jackson, Edward H.",,S. S. Wilson (Anita Halldén),1878 - 1970,1930,Sven Flodin?,,,,,
,Du skal ikke gi meg roser,"Jensen, Hans Jørgen",1907 - 1969,Per Plex,,1946,,,,Egil Monn Iversen,,
,Min kjære venn,"Jensen, Per-Gunnar",1928 - 2014,"Jensen, Per-Gunnar",1928 - 2014,1958,Omtale,,,Norsk Musikforlag,6916,
,Når lysene tendes derhjemme,Joe Lyons & Sam C. Hart,,Bob Gunnér (Olgar Sundt Gundersen),1897 - 1937,1933,,,,Norsk Notestik og Forlag,1946,
,Fjellenes land,"Johansen, Edgar",1915 - 1980,"Mathisen, Rino (Sølving)",1912 - 1991,1941,,,,,,
,Skuffet kjærlighet,"Johansen, Willy",1903 - 1976,Alf Amble,1909 - 1950,1904,,,,Norsk Musikforlag,6568,
,Alt for Norge,"Johansson, Allan",1900 - 1982,,,1930,,,,Norsk Musikforlag,5475,
,Canada,"Johansson, Allan ( & Hamilton)",1900 - 1982,,,1927,,,,,Musikcentralen,235.0
,Inntogs-Marsj,"Johansson, Allan",1900 - 1982,,,1929,,,,,,
,Marine-marsch,"Johansson, Allan",1900 - 1982,,,,,,,Musikcentralen,229,
C,Toreador,"Johansson, Allan",1900 - 1982,,,1929,,,,Musikcentralens forlag,233,
,Lördagsvalsen,"Johansson, Anselm",1898 - 1983,"Myrberg, Anna (Svarta Masken)",1878 - 1931,1921,,,,Carl M. Iversen,236,
,Brudevals,"Johnsen, Ivar",1908 - 1978,,,1929,,,,Norsk Notestik og Forlag,185,
,Nidaruss,"Jormann, Oscar",1900 - 1978,Rolf Haukaas,,1929,3 pr. Jazzkonkurranse 1927,,,,,
,En Rose,"Jormann, Oscar",1900 - 1978,Carl Kaas,,1927,,,,Sonora Musikförlag,4081,
,Nya Värmlandsvalsen,"Jularbo, Carl",1893 - 1966,,,1943,,,,,,
,En sommerflirt,"Juster, Leif",1910 - 1995,Per Kvist,1890 - 1947,1942,,,,Norsk Musikforlag,7253,
,Pramhusbesidderen,"Juster, Leif",1910 - 1995,Per Kvist,1890 - 1947,1942,,,,Norsk Musikforlag,7254,
,Avskjed med hjemmet,"Jærvi, Alto",,"Jærvi, Alto",,1947?,,,,Carl M. Iversen,237,
,Ma Ya Wong,"Jærvi, Alto",,Dorian Red (Arne Paasche Aasen),1901 - 1978,,,,,,,
,Den lille kjøkkenskriver,Karl Grönstedt & Ruedi Egger,1912 - 1983,"Hansen, Juul",1913 - 1981,1955,,,,Arne Bendiksen A/S,,
,Lena,"Karlsen, Kjell",1931 - 2020,"Mosnes, Terje",1947 -,1969,,,,,,
,Sjømannen og stjernen,"Karlsson, Bror",,"Hansen, Juul",1913 - 1981,,Tekst fra 1927?,,,,,
,Lille Inger Silkekinn,"Kauffmann, Hans",?,Claus Frimann Clasen (Lyktemannen),1894 - 1970,<1943,,,,Norsk Musikkforlag,1044,
,Vandringsmenn,"Kessler, Jakob",,Arne Paasche Aasen,1901 - 1978,1950,,,,Norsk Musikforlag,6937,
,"Med det blunket i øiet, Mathilde","Kierulf, Willy",1900 - 1944,"Torleif Larssen (""Tola"")",1899 - 1967,1936,Note fra 1957,Omtale,,Harald Lyche,,
,På Hovedøen,"Kierulf, Willy",1900 - 1944,Vilhelm Dybwad,1863 - 1950,?,,,,Kåre Korneliussen,42,
,Hjallispolka,"Korneliussen, Kåre",1916 - 1980,,,1954?,Dansk,,,,,
,"Du, den eneste pike jeg kjenner","Krahn, Eiler",1890 - 1950,Knud Secher,,1927,,,,,,
,Bølgene bruser,"Kramer-Johansen, Jolly",1902 - 1968,Victor Borg,1916 - 1996,,,,,,,
,Frihetens forpost,"Kramer-Johansen, Jolly",1902 - 1968,Arne Paasche Aasen,1901 - 1978,1945,,,,Bartnes forlag,32,
,Hjemløse hjerter,"Kramer-Johansen, Jolly",1902 - 1968,Arne Paasche Aasen,1901 - 1978,1936,,,2,,,
,Kjerringa passer på meg,"Kramer-Johansen, Jolly",1902 - 1968,Per Kvist,1890 - 1947,1943,"Fra filmen ""Kjærlighet og vennskap""",,,Musikkhuset,310,
,Kjærlighet og vennskap,"Kramer-Johansen, Jolly",1902 - 1968,Alf Rød,1894 - 1969,1941,,,,Bartnes forlag,27,
,Min lille geisha,"Kramer-Johansen, Jolly",1902 - 1968,Henry.,,1937,"Fra filmen ""En herre med bart""",,,,,
,Sykkelvisa,"Kramer-Johansen, Jolly",1902 - 1968,Per Kvist,1890 - 1947,,"Fra filmen ""Tante Pose""",,,Musikk-huset,273,
,Tante Pose,"Kramer-Johansen, Jolly",1902 - 1968,,,,,,,Bartnes forlag,20,
x,Under palmene,"Kramer-Johansen, Jolly",1902 - 1968,"Rosenlind, Olaf",1908 - 1990,1936,Fra filmen Vigdis,,,,,
,Vigdis: reilender,"Kramer-Johansen, Jolly",1902 - 1968,,,1943,Fra filmen Vigdis,,,,,
,Vigdis: Vals,"Kramer-Johansen, Jolly",1902 - 1968,Jolly Kramer-Johansen,1902 - 1968,1943,Den farlige leken,,,Norsk Notestik og forlag,,
,Violer,"Kramer-Johansen, Jolly",1902 - 1968,Jolly Kramer-Johansen & Olaf  Rosenlind,,1935,,,,Norsk Musikforlag,6927,
,Vår melodi,"Kramer-Johansen, Jolly",1902 - 1968,Jolly Kramer-Johansen,1902 - 1968,1942,,,,,,
,Rosmarie,"Kreuder, Peter",1905 - 1981,"Torleif Larssen (""Tola"")",1899 - 1967,,Pseudonym for Henrik A. Dedichen,,,Norsk Musikforlag,4296,
,Rikke ved skrivemaskinen,"Krier, Georges",1872 - 1946,Henrik Harpestreng,1863 - 1935,1909,,,,Norsk Musikforlag,6872,
,Dröm,"Kristoffersen, Fridthjof (Karl Tast)",1894 - 1962,"Carlmar, Otto",1902 - 1987,1929,,,,Hjemmens Notecentrals forlag,,
,Spill Zigøiner Primas,"Kristoffersen, Fridthjof (Karl Tast)",1894 - 1962,"Kristoffersen, Fridthjof (Karl Tast)",1894 - 1962,1932,,,,Carl M. Iversen,435,
,Tramper'n,"Kristoffersen, Fridthjof (Ola Pilt)",1894 - 1962,,,1929,,,,Norsk Musikforlag,6482,
,Skuddårsvalsen,"Krogh, Erling O.",1888 - 1968,"Krogh, Erling O.",1888 - 1968,1960,,,,Carl M. Iversen,444,
,Ungkarsvalsen,"Krogh, Erling O.",1888 - 1968,"Krogh, Erling O.",1888 - 1968,1959,Op 168,,,Ernst Rolf,44,
,Den norske speiderpike,"Kruge, Ragnhild",,,,,,,,Eget forlag,,
,Permissionsvalsen,"Kräusel, Georg",1882 - 1959,?,,1916,,,,,,
,Berceuse,"Krømer, Philip",1905 - 1998,"Obstfelder, Sigbjørn",1866 - 1900,1944,,,,Norsk Musikforlag,7425,
,September Song,Kurt Weill,1900 - 1950,Maxwell Anderson,1888 - 1959,1929,Omtale,,,,,
,En glad trall,"Körling, Felix",1864 - 1937,Gustav Fröding,1860 - 1911,1905?,,,,Edition Sylvain/Norsk Notestik & Forlag,1835,
,Jeg kan det  ikke!,"Lagerkrans, Karl Olof",1903 - 1966,"Teien, T.",,1936,Pseudonym for Gustav Winckler,,,,,
x,Hvide måge,"Lance, Walther",1925 - 1979,Kim Holter,1925 - 1979,1957,Pseudonym for Gustav Winckler,,,,,
,Send en hilsen hjem med en bukett fioler,"Lance, Walther",1925 - 1979,Kim Holter,1925 - 1979,1938,,,,,,
,En böljedans,Landin - Granath - Winter,,,,1927,,,,,,
,Finnmarkspiken,"Langbo, Kirsten",1909 - 1996,Georg Langbo,1904 - 1961,,,,,Harld Lyche,,
,Lillebror og mor,"Langbo, Kirsten",1909 - 1996,"Langbo, Kirsten",1909 - 1996,,,,,,,
,Du fagre Trondhjem,Lars F. B. Minsaas,1904 - 1986,Konrad Sehm,,1929,,,,,,
,Verdalsangen,Lars F. B. Minsaas,1904 - 1986,Bjarne Slaapgard,1901 - 1997,1939,,,,,,
,Det suser i skogene,"Larsen, Georg",,Arne Paasche Aasen,1901 - 1978,,,,,Norsk Musikforlag,6391,
,Se våren er kommet,"Larsen, Georg",,"Torleif Larssen (""Tola"")",1899 - 1967,1935?,2. premie i Norsk Musikforlag og Aftenpostens Slagerkonkurranse,,,Norsk Musikforlag,7201,
,Stjerneskudd,"Larsen, Georg",,Herbert Herding-Herberth,1904 - 1958,1937,,,,Norsk Musikkforlag,7244,
,Hu-la-lu-la-lei,"Larsen, Harry",1912 - 1992,Harry Larsen,1912 - 1992,,1 premie i Norsk Musikforlag og Aftenpostens Sommerkonkurranse,,,,,
,Sommersangen,"Larsen, Harry",1912 - 1992,Per Kvist,1890 - 1947,1936,,,2,,,
